Date,StartTime,DayOfWeek,GoingTo,Distance,MaxSpeed,AvgSpeed,AvgMovingSpeed,FuelEconomy,TotalTime,MovingTime,Toll,Comments
8/22/2011,16:44,Monday,home,51.12,126.8,77.9,85.2,8.54,39.6,36,No,
8/22/2011,7:49,Monday,work,49.18,123.8,65.6,73.3,8.54,45,40.2,No,
8/19/2011,17:42,Friday,home,51.09,126.5,78.1,81.6,8.37,39.3,37.6,,
8/19/2011,7:05,Friday,work,49.18,123,72,81.4,8.37,,36.3,No,Start early to run a batch
8/18/2011,17:05,Thursday,home,50.97,129.6,66.6,76.2,8.37,45.9,40.2,No,
8/18/2011,8:11,Thursday,work,52.26,137.7,51.2,64.1,8.37,61.2,48.9,,Accident at 403/highway 6; detour along Dundas
8/17/2011,17:17,Wednesday,home,51.11,129.8,68.9,75.7,8.37,44.5,40.5,No,
8/17/2011,8:10,Wednesday,work,49.1,124.8,67.9,76.2,8.37,,38.7,No,
8/16/2011,17:27,Tuesday,home,51.14,133.4,82.4,,8.37,37.2,35.3,No,
8/16/2011,8:15,Tuesday,work,49.14,131.7,75,80.2,8.37,39.3,36.7,No,
8/15/2011,17:38,Monday,home,51.11,-32.5,78,83.7,8.37,39.3,36.7,,
8/15/2011,8:15,Monday,work,49.2,124.7,71.3,75.7,8.37,41.4,39,No,
8/12/2011,17:25,Friday,home,55.57,127.7,69.6,77.1,8.54,47.9,43.2,,Detour taken
8/12/2011,8:05,Friday,work,49.02,128.4,76.7,82.9,8.54,38.4,35.5,No,Must be Friday
8/11/2011,17:25,Thursday,home,51.18,133.6,80.7,86,8.54,38,35.7,,
8/11/2011,8:13,Thursday,work,48.99,125.5,68.3,79.5,8.54,43,37,,
8/10/2011,17:14,Wednesday,home,51.03,127.4,73.5,79.3,8.54,41.7,38.6,No,
8/10/2011,8:13,Wednesday,work,48.98,124.8,72.8,78.8,8.54,,37.3,No,
8/9/2011,17:13,Tuesday,home,51.15,127.1,72.1,82.3,8.54,42.5,37.3,No,
8/9/2011,8:15,Tuesday,work,49.08,134.8,60.5,67.2,8.54,48.7,43.8,No,Medium amount of rain
8/8/2011,17:05,Monday,home,52.35,1207.5,76.9,84.2,8.54,,37.3,No,
8/8/2011,8:07,Monday,work,49.25,126.3,68.5,78.2,8.54,43.1,37.8,No,New tires
8/5/2011,17:00,Friday,home,51.94,126.7,74.5,82.6,8.48,41.9,37.7,No,
8/5/2011,8:20,Friday,work,49.13,123.9,74.1,79.9,8.48,39.8,36.9,No,
8/4/2011,17:38,Thursday,home,50.96,131.9,70.3,78.5,8.48,43.5,38.9,No,
8/4/2011,8:17,Thursday,work,49.12,122.4,71.5,77.3,8.48,41.2,38.2,No,
8/3/2011,17:14,Wednesday,home,51.64,125,72.2,78.7,8.48,42.9,39.4,No,
8/3/2011,8:06,Wednesday,work,49.06,121.9,71.5,78.7,8.48,,37.4,No,
8/2/2011,17:22,Tuesday,home,51.16,124.2,76.3,83.2,8.48,,36.9,No,
8/2/2011,7:38,Tuesday,work,53.48,124.9,68.8,78.8,8.48,46.7,40.7,No,Turn around on Derry
7/29/2011,20:31,Friday,home,50.68,135.6,107.7,110.4,8.45,28.2,27.6,Yes,
7/29/2011,8:22,Friday,work,49.07,121.1,73.2,,8.45,,37.9,No,Empty roads
7/28/2011,17:46,Thursday,home,51.09,128.5,76,84.8,8.45,40.3,36.2,,
7/28/2011,8:11,Thursday,work,49.11,120.1,69.1,,8.45,,40.3,,
7/27/2011,17:24,Wednesday,home,50.98,124.9,68.3,,8.45,44.8,42.6,,Police slowdown on 403
7/27/2011,8:15,Wednesday,work,48.82,124.5,70.4,77.8,8.45,41.6,37.6,,
7/26/2011,17:15,Tuesday,home,51.28,122.1,43.7,51.5,8.45,70.5,59.8,No,Accident blocked 407 exit
7/26/2011,8:11,Tuesday,work,49.16,122.6,71.9,76.8,8.45,41,38.4,No,
7/25/2011,16:59,Monday,home,51.05,126.6,70.4,78.8,8.45,51.1,38.9,No,
7/25/2011,8:06,Monday,work,48.32,121.2,63.4,78.4,8.45,,37,No,
7/22/2011,16:47,Friday,home,51.24,126.3,75.8,81.8,8.28,40.6,37.6,No,
7/22/2011,8:28,Friday,work,51.05,123.3,88.9,96.7,8.28,34.5,31.7,Yes,
7/21/2011,7:59,Thursday,work,48.35,129.3,81.5,,8.28,35.6,32.6,Yes,
7/20/2011,17:17,Wednesday,home,53.47,124,58.6,71,7.89,54.8,45.2,No,
7/20/2011,8:24,Wednesday,work,48.5,125.8,75.7,87.3,7.89,,33.3,Yes,
7/19/2011,17:17,Tuesday,home,51.16,1263.7,92.2,102.6,7.89,,29.9,Yes,
7/19/2011,8:11,Tuesday,work,50.96,124.3,82.3,96.4,7.89,37.2,31.7,Yes,
7/18/2011,8:09,Monday,work,54.52,125.6,49.9,82.4,7.89,65.5,39.7,No,
7/14/2011,8:03,Thursday,work,50.9,3123.7,76.2,,7.89,40.1,32.1,Yes,
7/13/2011,17:08,Wednesday,home,51.96,132.6,57.5,76.7,,54.2,40.6,Yes,
7/12/2011,17:51,Tuesday,home,53.28,125.8,61.6,,,51.9,36.5,Yes,
7/11/2011,16:56,Monday,home,51.73,-120,62.8,,,,33.6,Yes,
