interveningOpponents,interveningTeammates,minute,second,label,distance,angle,playType_جریان بازی,playType_ضربه آزاد مستقیم,playType_مستقیم از کرنر,playType_پنالتی,bodyPart_سایر,bodyPart_سر,bodyPart_پا,interferenceOnShooter_زیاد,interferenceOnShooter_متوسط,interferenceOnShooter_کم
3,1,23,13,0,23.22571204505903,17.34151037194896,1,0,0,0,0,0,1,0,1,0
3,0,67,45,0,19.636700333813724,14.044834604058245,1,0,0,0,0,0,1,0,1,0
2,0,72,11,0,30.558890686672513,12.305763925341642,1,0,0,0,0,0,1,0,1,0
3,0,59,45,0,23.526652970620365,15.129831915890414,1,0,0,0,0,0,1,0,0,1
2,0,64,6,0,12.698759781962961,11.854431462402331,1,0,0,0,0,0,1,0,1,0
3,1,56,48,0,26.38965138079698,15.678468228082986,1,0,0,0,0,0,1,0,1,0
3,0,51,49,1,28.52538693865519,12.600824114103846,1,0,0,0,0,0,1,0,0,1
1,0,21,54,0,7.9898498108537686,42.16176305260619,1,0,0,0,0,0,1,0,0,1
1,0,78,5,0,21.16914027541034,16.382675169997064,1,0,0,0,0,0,1,0,0,1
1,0,27,6,0,37.83488998266019,9.284431227386145,1,0,0,0,0,0,1,0,0,1
4,0,63,49,0,27.212778248462616,14.899314577913643,1,0,0,0,0,0,1,1,0,0
1,0,16,42,0,9.87754017961962,30.339821009011587,1,0,0,0,0,1,0,0,0,1
5,1,41,11,0,27.970250267024785,14.889469142299218,1,0,0,0,0,0,1,0,1,0
3,1,77,1,0,21.04524886999439,10.589736346386712,1,0,0,0,0,0,1,0,0,1
1,0,66,59,0,8.70979333853565,43.080423427438085,1,0,0,0,0,0,1,0,0,1
2,0,13,33,0,15.010029979983386,25.760828048390604,1,0,0,0,0,0,1,0,0,1
5,2,91,2,0,10.039945218974056,36.94530768670058,1,0,0,0,0,1,0,0,0,1
2,0,33,57,0,13.955142421344183,13.044613209159493,1,0,0,0,0,0,1,0,0,1
3,0,58,2,1,10.934943987053614,33.853634576924684,1,0,0,0,0,0,1,0,1,0
2,0,41,45,0,25.645490831723226,16.120883751530762,1,0,0,0,0,0,1,0,0,1
2,0,49,43,0,10.808931492057853,35.90269306090665,1,0,0,0,0,0,1,0,1,0
1,0,27,10,0,15.39971752987697,24.561257536589295,1,0,0,0,0,0,1,0,0,1
2,0,80,3,0,12.491136857788407,29.934054210482127,1,0,0,0,0,0,1,0,1,0
1,0,71,25,0,12.822082514162823,26.37609484937064,1,0,0,0,0,0,1,1,0,0
2,0,27,59,1,8.47113923861484,36.915954175587096,1,0,0,0,0,1,0,0,1,0
6,2,89,45,0,22.601170323680144,7.113270564838802,0,1,0,0,0,0,1,0,0,1
3,0,60,13,0,15.785239941160224,14.33296521895501,1,0,0,0,0,0,1,0,1,0
2,0,34,23,0,15.340928915812107,26.63995827511398,1,0,0,0,0,0,1,0,0,1
1,0,54,31,1,10.97,36.90123249850194,0,0,0,1,0,0,1,0,0,1
4,1,18,32,0,15.425751197267509,21.31523997340934,1,0,0,0,0,0,1,0,1,0
1,0,48,42,1,8.598139333600033,42.13040646127844,1,0,0,0,0,0,1,0,0,1
4,0,45,59,0,8.685217326008601,32.934497754212785,1,0,0,0,0,1,0,1,0,0
1,0,14,28,1,10.102004751533233,34.9985995682168,1,0,0,0,0,0,1,0,0,1
2,0,74,56,0,21.5404363929796,18.167400797347646,1,0,0,0,0,0,1,1,0,0
4,1,16,39,0,22.85483975003982,18.073644691644898,1,0,0,0,0,0,1,0,1,0
2,0,17,40,0,15.692966577419327,25.184931209530387,1,0,0,0,0,0,1,0,1,0
2,0,63,17,0,13.092784272262337,30.01207025435633,1,0,0,0,0,0,1,0,0,1
2,0,53,36,1,21.57220665578744,18.950134459110032,1,0,0,0,0,0,1,1,0,0
1,0,30,40,1,6.160779171500956,57.36883897067358,1,0,0,0,0,0,1,0,0,1
2,0,56,43,0,13.257767534543666,30.79395559090219,1,0,0,0,0,1,0,1,0,0
1,0,2,59,0,18.957175422514823,18.658357607132018,1,0,0,0,0,0,1,0,0,1
1,0,70,30,0,21.638863186406073,17.17079908225062,1,0,0,0,0,0,1,0,1,0
3,1,13,10,0,9.86802918520208,39.56649394540393,1,0,0,0,0,1,0,1,0,0
2,0,19,45,0,14.118278931937844,21.93716725979916,1,0,0,0,0,0,1,0,0,1
2,0,55,22,0,7.139355713227911,53.66882423489845,1,0,0,0,0,1,0,0,1,0
1,0,73,6,1,9.200021739104752,42.69599967116271,1,0,0,0,0,0,1,0,0,1
1,0,50,48,0,12.228593541368525,31.66246207692943,1,0,0,0,1,0,0,0,0,1
1,0,61,17,0,12.718824631230671,16.4633362873161,1,0,0,0,0,0,1,0,1,0
3,0,56,59,0,18.747186455572475,18.786589600714834,1,0,0,0,0,0,1,0,1,0
3,0,67,56,0,19.490125705084612,21.231235039435656,1,0,0,0,0,0,1,0,1,0
5,2,59,11,0,31.22892569397801,12.000001632652209,0,1,0,0,0,0,1,0,0,1
1,0,85,19,1,10.97,36.90123249850194,0,0,0,1,0,0,1,0,0,1
2,0,35,52,0,5.089214084708955,71.10199215204534,1,0,0,0,1,0,0,0,1,0
2,0,24,34,0,10.15728802387724,36.96471563772493,1,0,0,0,0,0,1,1,0,0
3,0,69,51,0,24.20983684372945,16.84548784884131,1,0,0,0,0,0,1,1,0,0
1,0,57,28,0,9.595337409387959,38.273037711230984,1,0,0,0,0,1,0,0,0,1
3,0,87,59,1,10.496828092333418,38.37357114051,1,0,0,0,0,0,1,0,0,1
2,1,55,42,0,15.532597979732818,26.41079888794126,1,0,0,0,0,0,1,0,0,1
2,0,39,32,0,9.278496645470106,36.98695936628561,1,0,0,0,0,0,1,0,1,0
3,0,50,53,0,21.338249693918197,16.993345374104422,1,0,0,0,0,0,1,0,1,0
2,0,67,9,1,5.210575783922541,69.36567690681541,1,0,0,0,0,1,0,0,0,1
3,0,82,49,0,8.359455723909303,45.96168350704217,1,0,0,0,0,1,0,0,1,0
4,1,76,59,0,25.052874086619283,15.448359606109838,1,0,0,0,0,0,1,0,1,0
3,0,36,0,0,19.214642853823747,21.55405815743162,1,0,0,0,0,0,1,0,1,0
2,0,76,2,0,12.603015512170094,29.453478750438816,1,0,0,0,0,0,1,0,1,0
2,0,58,13,1,18.0200388456851,17.573561985639778,1,0,0,0,0,0,1,0,1,0
2,0,53,28,0,6.8562380355410655,54.67784893369777,1,0,0,0,1,0,0,0,1,0
3,1,83,0,0,17.42302212591145,23.16359953601877,1,0,0,0,0,0,1,0,1,0
2,0,63,53,0,18.73858319083916,10.41426313587898,1,0,0,0,0,0,1,0,1,0
1,0,81,24,1,10.97,36.90123249850194,0,0,0,1,0,0,1,0,0,1
2,0,45,49,0,13.408430184029747,30.18170202285801,1,0,0,0,0,1,0,1,0,0
1,0,7,48,1,10.97,36.90123249850194,0,0,0,1,0,0,1,0,0,1
2,0,20,41,0,17.762370337317034,18.700526284781578,1,0,0,0,0,0,1,0,0,1
4,0,90,13,0,30.12345929670097,13.437004817611697,1,0,0,0,0,0,1,0,0,1
4,1,71,15,0,23.24287417683106,17.678886492113257,1,0,0,0,0,0,1,0,0,1
4,0,40,55,0,19.258504614844842,16.493006050662913,1,0,0,0,0,0,1,1,0,0
2,1,5,36,0,11.981590044731126,7.971334690319259,1,0,0,0,0,1,0,0,0,1
2,0,91,41,0,12.839816976888729,31.580327239969627,1,0,0,0,0,0,1,0,1,0
2,0,33,57,0,15.369248517738269,20.646972550289238,1,0,0,0,0,0,1,1,0,0
7,2,38,6,1,24.38619691546839,13.762367818485945,0,1,0,0,0,0,1,0,0,1
1,0,17,50,0,9.35109084545755,42.37852532298125,1,0,0,0,0,0,1,0,1,0
3,0,5,6,0,24.920597906149844,16.246498944356333,1,0,0,0,0,0,1,0,0,1
1,0,53,14,0,13.760297961890215,22.037811104359616,1,0,0,0,0,0,1,0,1,0
1,0,71,41,0,2.6004999519323206,109.99718901979207,1,0,0,0,0,1,0,0,1,0
3,2,65,20,0,26.31513822878383,15.334733090928822,1,0,0,0,0,0,1,0,0,1
3,0,12,7,0,22.75528290309747,16.52941807388757,1,0,0,0,0,0,1,0,1,0
3,0,48,34,0,13.609132962830513,14.316357161381601,1,0,0,0,0,0,1,0,1,0
2,0,23,13,0,21.350936747599626,12.110363765496217,1,0,0,0,0,0,1,0,1,0
2,0,47,50,0,17.723622654525233,18.46695048375483,1,0,0,0,0,0,1,0,1,0
4,0,90,9,0,22.647757063338524,16.29604592783959,1,0,0,0,0,0,1,0,0,1
1,0,7,31,0,7.287503001714648,39.61207010341655,1,0,0,0,0,0,1,0,0,1
3,0,64,0,0,25.250378214989176,13.644868980602258,1,0,0,0,0,0,1,0,1,0
1,0,10,22,0,14.688730373997611,22.090088761534776,1,0,0,0,0,0,1,0,0,1
2,0,41,33,0,7.020890256940355,53.92000101895741,1,0,0,0,0,0,1,1,0,0
3,0,3,35,0,11.285424227737298,27.137701767879964,1,0,0,0,0,0,1,0,1,0
3,0,63,12,0,11.722666079011208,34.67226590568487,1,0,0,0,0,1,0,0,0,1
1,0,63,9,0,23.104382701124045,14.366617953459976,1,0,0,0,0,0,1,0,1,0
2,0,14,4,0,12.382584544431749,5.972650469367738,1,0,0,0,0,0,1,1,0,0
3,0,8,37,0,25.7535123818092,13.8877806566704,1,0,0,0,0,0,1,0,1,0
3,0,82,7,0,26.036783595521165,12.994909605585926,1,0,0,0,0,0,1,1,0,0
2,0,80,13,0,12.22255701561666,33.33476966844675,1,0,0,0,0,0,1,0,1,0
2,0,12,19,0,17.372645164165416,19.844878130217214,1,0,0,0,0,0,1,1,0,0
2,0,13,30,0,26.659426100349574,15.506183057687691,1,0,0,0,0,0,1,0,1,0
5,3,44,26,0,26.330153816489567,14.018828328267691,1,0,0,0,0,0,1,0,0,1
5,2,51,23,0,28.231459402588452,13.994442278971025,1,0,0,0,0,0,1,0,0,1
1,0,24,57,0,8.956165474130097,43.72311868916775,1,0,0,0,0,1,0,0,1,0
2,0,61,45,0,6.781622224807277,55.504438647107314,1,0,0,0,1,0,0,0,1,0
3,0,8,24,0,25.37925333811064,15.21864729889104,1,0,0,0,0,0,1,0,1,0
3,0,5,41,0,33.3194237645251,10.835986277199405,1,0,0,0,0,0,1,0,1,0
2,0,48,23,0,18.16780669205835,22.54580523667365,1,0,0,0,0,0,1,0,0,1
3,0,11,10,0,19.509228585466932,12.60717090453061,1,0,0,0,0,0,1,0,1,0
2,0,12,41,0,30.289326502911877,12.742915155945145,1,0,0,0,0,0,1,0,1,0
3,0,56,1,0,8.529390365084717,39.6921204473526,1,0,0,0,0,1,0,0,1,0
1,0,26,16,1,14.98463546436816,19.949755169611695,1,0,0,0,0,0,1,0,0,1
1,0,42,32,1,14.461967362706917,27.58235627771356,1,0,0,0,0,1,0,0,0,1
4,1,84,54,0,24.75194133800418,16.78270451891795,1,0,0,0,0,0,1,0,0,1
2,0,14,30,0,21.59404084464045,19.120431038227593,1,0,0,0,0,0,1,1,0,0
2,0,58,4,0,9.705179029775804,38.341743363663504,1,0,0,0,0,1,0,1,0,0
4,1,51,25,0,20.305489405577006,8.84459087818812,1,0,0,0,0,0,1,0,1,0
1,0,6,36,0,8.324385863233395,47.14188202334197,1,0,0,0,0,0,1,0,1,0
7,2,19,40,0,27.236279114445864,15.276918354687878,0,1,0,0,0,0,1,0,0,1
2,0,47,43,0,11.908337415441334,32.60219265931267,1,0,0,0,0,1,0,0,1,0
2,0,39,42,0,12.72982325093322,32.061447222959785,1,0,0,0,0,1,0,1,0,0
1,0,75,51,1,10.97,36.90123249850194,0,0,0,1,0,0,1,0,0,1
2,0,23,15,0,6.359654078642957,52.06004699088167,1,0,0,0,0,0,1,1,0,0
2,1,13,35,0,18.271674800083325,22.58524739020902,1,0,0,0,0,0,1,0,1,0
2,0,44,50,0,12.317507864823956,13.365910529044633,1,0,0,0,0,0,1,1,0,0
2,0,43,54,0,16.129128928742556,14.120415936332328,1,0,0,0,0,0,1,0,0,1
1,0,32,48,1,6.997885394888945,55.15176939404593,1,0,0,0,0,0,1,0,0,1
2,0,64,20,0,24.834016992826594,14.097970007771565,1,0,0,0,0,0,1,0,0,1
1,0,89,48,0,11.743972922312109,2.524388757337097,1,0,0,0,0,0,1,0,0,1
2,0,78,15,0,8.47764707923136,43.11762880255583,1,0,0,0,0,1,0,1,0,0
2,0,39,52,0,25.45572823550723,13.585368126992664,1,0,0,0,0,0,1,0,0,1
2,0,15,13,0,8.494727776685961,46.56848249968747,1,0,0,0,0,0,1,0,1,0
7,1,33,5,0,29.024046926643432,13.734522350002253,0,1,0,0,0,0,1,0,0,1
1,0,42,35,1,11.295950601874994,33.8651584565116,1,0,0,0,0,0,1,0,0,1
2,0,22,35,1,20.20519982578742,20.06259506057039,1,0,0,0,0,0,1,0,1,0
4,1,34,52,0,24.603174591909884,16.654353913196072,0,1,0,0,0,0,1,0,0,1
3,2,41,29,0,19.533819390994687,20.644480607173474,1,0,0,0,0,0,1,0,0,1
2,0,63,40,0,7.743900825811241,33.68030010944664,1,0,0,0,0,0,1,0,0,1
3,0,0,52,0,24.60709247351259,15.996871808240517,1,0,0,0,0,0,1,0,0,1
3,1,16,56,0,25.321176907876932,14.975412821988552,1,0,0,0,0,0,1,0,0,1
1,0,29,24,0,10.97,36.90123249850194,0,0,0,1,0,0,1,0,0,1
1,0,50,39,0,16.398759099395296,18.559137664018724,1,0,0,0,0,0,1,0,0,1
1,0,47,6,1,6.072898813581534,61.82634174762854,1,0,0,0,0,1,0,0,1,0
6,2,17,46,0,14.584443767247349,27.575937240323434,1,0,0,0,0,0,1,0,1,0
3,1,84,37,0,21.791856277059097,16.110901789771823,1,0,0,0,0,0,1,0,1,0
1,0,55,31,0,14.07918321494539,28.9546110144457,1,0,0,0,0,0,1,0,1,0
2,0,1,36,1,4.552208255341577,77.43254666851516,1,0,0,0,0,0,1,0,0,1
2,0,6,0,0,12.272868450366444,27.430109792955978,1,0,0,0,0,0,1,0,1,0
6,2,69,59,0,31.406147487394882,9.167311692972122,1,0,0,0,0,0,1,0,0,1
2,0,82,47,0,7.681985420449586,15.685512802471267,1,0,0,0,0,0,1,0,0,1
4,1,58,42,0,15.462021213282565,26.631621015664944,1,0,0,0,0,0,1,0,1,0
3,0,4,24,0,25.711104604820072,14.08516358219087,1,0,0,0,0,0,1,0,0,1
3,0,83,18,0,23.720796782570353,17.17334803418904,1,0,0,0,0,0,1,0,1,0
2,0,44,34,0,12.822082514162823,26.37609484937064,1,0,0,0,0,0,1,0,1,0
2,0,16,18,0,14.183388170673467,26.82174938748099,1,0,0,0,0,0,1,1,0,0
6,1,43,26,0,24.63987418799049,14.482410256511411,0,1,0,0,0,0,1,0,0,1
2,0,50,44,0,25.10500348536124,16.17299658766129,1,0,0,0,0,0,1,1,0,0
2,0,84,44,0,9.867775838556529,38.81824388326161,1,0,0,0,0,1,0,0,1,0
2,0,21,52,0,22.490077812226442,18.448017198259816,1,0,0,0,0,0,1,0,1,0
2,0,65,9,0,23.15589989613878,12.022291538409858,1,0,0,0,0,0,1,0,1,0
2,0,79,53,0,14.849033638590763,14.335047024045705,1,0,0,0,0,0,1,1,0,0
2,0,66,15,0,10.980573755501121,15.243474725634915,1,0,0,0,0,0,1,0,1,0
5,3,12,12,0,31.896026398283535,12.903072294269071,1,0,0,0,0,0,1,0,0,1
3,0,75,39,0,18.150275480003053,18.516748011352064,1,0,0,0,0,0,1,1,0,0
1,0,65,36,0,1.9039432764659772,127.33393382213498,1,0,0,0,0,0,1,0,1,0
2,0,29,40,0,15.171067859580619,24.45940463536729,1,0,0,0,0,0,1,1,0,0
1,0,77,30,0,12.272868450366444,27.430109792955978,1,0,0,0,0,0,1,0,1,0
5,2,58,55,0,26.139175579960437,15.390488554788027,1,0,0,0,0,0,1,0,0,1
3,0,10,53,0,11.143756099269224,29.261615337695613,1,0,0,0,0,1,0,1,0,0
3,0,42,33,0,13.072329555209356,24.334455628376542,1,0,0,0,0,0,1,0,1,0
2,0,57,55,0,27.738855419789765,11.997892224016988,1,0,0,0,0,0,1,0,1,0
1,0,5,1,0,10.954715879474008,29.470048208289995,1,0,0,0,0,0,1,0,0,1
1,0,62,42,0,14.830418065583991,21.24498065192624,1,0,0,0,0,0,1,0,0,1
3,0,19,6,0,18.538190310815132,12.774979754753346,1,0,0,0,0,0,1,0,1,0
1,0,35,43,1,10.808931492057853,35.90269306090665,1,0,0,0,0,0,1,0,1,0
2,0,20,48,0,20.83560894238515,19.585478054053866,1,0,0,0,0,0,1,0,1,0
2,0,89,51,0,20.724140512938046,13.092449624187772,1,0,0,0,0,0,1,0,1,0
4,0,41,7,0,31.312981333625835,12.66112380343632,1,0,0,0,0,0,1,0,0,1
1,0,47,53,0,7.883558841031125,48.31679213574808,1,0,0,0,0,1,0,0,0,1
2,0,32,16,1,24.2239220606408,15.143585934769701,1,0,0,0,0,0,1,0,0,1
2,0,12,40,0,26.26421519863101,14.669647981447648,1,0,0,0,0,0,1,0,1,0
2,0,86,46,0,23.046277356657843,14.809561325880338,1,0,0,0,0,0,1,0,0,1
3,1,3,46,1,23.539177980549788,16.01385841130677,1,0,0,0,0,0,1,0,0,1
2,0,68,23,0,25.899886100135653,12.675994089860446,1,0,0,0,0,0,1,0,1,0
2,0,24,6,0,27.435059686466875,14.930290346701637,1,0,0,0,0,0,1,0,1,0
3,0,3,21,0,7.149664327784907,50.44846625972853,1,0,0,0,0,0,1,0,1,0
2,0,36,21,0,17.17627724508428,11.717762392643516,1,0,0,0,0,0,1,0,0,1
1,0,63,30,0,12.9491698575623,30.609977740651242,1,0,0,0,0,0,1,0,1,0
3,0,72,57,0,15.770279008311807,24.95641617522826,1,0,0,0,0,0,1,0,1,0
3,0,46,22,0,23.453803529491758,14.674751103994723,1,0,0,0,0,0,1,0,1,0
2,0,19,6,0,21.428252378577213,15.124921527338199,1,0,0,0,0,0,1,0,1,0
3,0,19,30,0,26.847981302138898,12.79633854984602,1,0,0,0,0,0,1,0,0,1
1,0,13,13,0,13.01436898201369,26.167345499837154,1,0,0,0,0,0,1,0,0,1
0,0,45,21,1,3.8075714044519247,87.33966773555166,1,0,0,0,0,0,1,0,1,0
2,0,66,23,0,21.693448319711646,13.469280316264474,1,0,0,0,0,0,1,0,1,0
5,1,66,34,0,31.694658856028095,13.164429181119589,0,1,0,0,0,0,1,0,0,1
4,1,83,21,1,20.049012444507085,19.406277376312083,1,0,0,0,0,0,1,0,1,0
3,1,61,17,0,26.68767505797386,14.359235100241564,1,0,0,0,0,0,1,0,1,0
2,1,92,57,0,28.018167320508315,12.665952635856911,1,0,0,0,0,0,1,0,1,0
5,1,72,40,0,17.27524529492997,23.843777833242097,1,0,0,0,0,0,1,0,0,1
3,0,38,43,0,26.448911130706307,15.74640185244424,1,0,0,0,0,0,1,0,1,0
2,0,72,21,0,14.064096131639602,18.604205038453053,1,0,0,0,0,0,1,0,1,0
1,0,34,21,0,34.59229972118072,8.944029536099512,1,0,0,0,0,0,1,0,1,0
3,0,76,29,0,26.931160390892924,15.477765985231326,1,0,0,0,0,0,1,0,0,1
4,1,2,43,0,16.12331541588144,15.323964098012127,1,0,0,0,0,0,1,0,1,0
1,0,68,47,0,15.287537407967315,22.910252488372752,1,0,0,0,0,0,1,0,0,1
3,0,79,30,0,23.118081667820107,12.445819681649919,1,0,0,0,0,0,1,1,0,0
8,3,28,7,0,24.360295564709393,15.811825414772777,0,1,0,0,0,0,1,0,0,1
1,0,47,57,0,14.756313902868833,14.9993002555581,1,0,0,0,0,0,1,0,1,0
3,2,74,22,0,27.416090166177963,13.084205316873492,1,0,0,0,0,0,1,0,0,1
4,0,70,40,0,25.527404881812803,13.665655441307461,1,0,0,0,0,0,1,0,1,0
2,0,35,13,0,10.516320649352606,36.232943145819355,1,0,0,0,0,1,0,1,0,0
2,0,27,9,0,31.219087110292,13.352933781235564,1,0,0,0,0,0,1,0,0,1
1,0,54,38,1,10.97,36.90123249850194,0,0,0,1,0,0,1,0,0,1
1,0,91,55,0,7.24486024709932,50.50636001403097,1,0,0,0,0,1,0,0,1,0
0,0,9,19,1,3.773274440058661,88.23836812669657,1,0,0,0,0,0,1,0,1,0
2,0,45,4,1,21.528943308950396,17.553023154553827,1,0,0,0,0,0,1,0,1,0
2,1,80,13,0,21.962809474199787,18.912015740935278,1,0,0,0,0,0,1,0,1,0
4,0,51,56,0,29.52956484609958,11.301005552648189,0,1,0,0,0,0,1,0,0,1
8,2,35,11,0,22.74143575062929,17.120971326571468,0,1,0,0,0,0,1,0,0,1
3,0,30,46,0,23.431611126851692,16.157062445604126,1,0,0,0,0,0,1,0,1,0
4,0,61,52,0,23.34472531429745,17.351261646935356,1,0,0,0,0,0,1,0,1,0
1,0,77,2,0,5.929392886291143,36.996442154624035,1,0,0,0,0,1,0,1,0,0
3,0,45,27,0,13.317424675964945,25.053204221901588,1,0,0,0,0,0,1,0,1,0
1,0,16,11,0,6.984475642451622,55.29362289152349,1,0,0,0,0,1,0,0,1,0
2,0,4,1,0,11.177356574789945,29.809807525770864,1,0,0,0,0,0,1,1,0,0
2,0,16,9,0,8.911677732054724,43.23430905792492,1,0,0,0,0,0,1,1,0,0
1,0,86,29,1,10.97,36.90123249850194,0,0,0,1,0,0,1,0,0,1
3,0,70,52,0,28.95699224712401,14.394455816328065,1,0,0,0,0,0,1,0,1,0
5,1,8,56,0,12.344670915014301,32.763299451867084,1,0,0,0,0,1,0,1,0,0
4,0,46,29,0,17.667110686244087,17.94911157102184,1,0,0,0,0,0,1,0,1,0
7,2,81,29,0,20.713582500378827,20.02887389915996,0,1,0,0,0,0,1,0,0,1
5,2,75,15,0,24.936000080205325,13.497154418686964,1,0,0,0,0,0,1,0,1,0
3,2,46,22,0,23.65889684664101,14.605996141635261,1,0,0,0,0,0,1,1,0,0
1,0,84,1,0,20.11099201929134,18.098711520096938,1,0,0,0,0,0,1,0,1,0
2,0,49,13,0,8.039931591748775,29.680783122577402,1,0,0,0,0,1,0,0,1,0
2,0,56,58,0,21.70144004438415,19.144793475853046,1,0,0,0,0,0,1,0,1,0
3,1,73,55,0,25.544347711382258,16.093283409404215,1,0,0,0,0,0,1,0,1,0
3,0,77,48,0,30.88856260818881,12.580537538792125,1,0,0,0,0,0,1,0,1,0
3,0,12,7,0,25.234975728143667,15.70073266324157,1,0,0,0,0,0,1,0,0,1
5,1,70,10,0,30.112791302036417,11.886805337675145,1,0,0,0,0,0,1,0,0,1
