age,job,marital,education,default,housing,loan,is_telephone_contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,y
24,management,single,university.degree,no,yes,no,yes,may,mon,165,2,999,0,nonexistent,no
37,blue-collar,single,basic.9y,,yes,yes,yes,may,mon,163,2,999,0,nonexistent,no
40,blue-collar,married,basic.9y,,no,no,yes,may,mon,46,1,999,0,nonexistent,no
42,blue-collar,married,basic.9y,,no,no,yes,may,mon,559,3,999,0,nonexistent,no
39,services,divorced,high.school,,no,no,yes,may,mon,2033,1,999,0,nonexistent,no
37,entrepreneur,married,basic.6y,no,no,no,yes,may,mon,85,1,999,0,nonexistent,no
38,services,married,high.school,no,yes,yes,yes,may,mon,506,1,999,0,nonexistent,no
56,admin.,divorced,,,no,no,yes,may,mon,114,2,999,0,nonexistent,no
40,blue-collar,married,,no,no,no,yes,may,mon,114,2,999,0,nonexistent,no
54,management,divorced,university.degree,no,yes,no,yes,may,mon,843,2,999,0,nonexistent,no
43,blue-collar,married,high.school,,no,yes,yes,may,mon,181,1,999,0,nonexistent,no
36,services,married,high.school,,no,no,yes,may,mon,427,1,999,0,nonexistent,no
45,technician,married,university.degree,no,yes,yes,yes,may,mon,292,1,999,0,nonexistent,no
42,admin.,single,university.degree,,no,no,yes,may,mon,192,1,999,0,nonexistent,no
43,services,married,high.school,no,no,no,yes,may,mon,93,3,999,0,nonexistent,no
46,management,married,basic.9y,no,no,no,yes,may,mon,128,2,999,0,nonexistent,no
44,services,married,high.school,no,yes,yes,yes,may,mon,107,1,999,0,nonexistent,no
51,admin.,single,basic.6y,no,no,no,yes,may,mon,303,2,999,0,nonexistent,no
28,services,married,high.school,no,yes,no,yes,may,mon,81,1,999,0,nonexistent,no
37,blue-collar,married,basic.9y,no,no,no,yes,may,mon,270,1,999,0,nonexistent,no
34,technician,married,high.school,no,no,no,yes,may,mon,228,1,999,0,nonexistent,no
46,blue-collar,married,basic.6y,,yes,no,yes,may,mon,240,1,999,0,nonexistent,no
42,blue-collar,married,basic.9y,no,yes,yes,yes,may,mon,673,2,999,0,nonexistent,yes
36,admin.,married,university.degree,no,yes,no,yes,may,mon,233,3,999,0,nonexistent,no
54,blue-collar,married,basic.4y,,no,no,yes,may,mon,102,1,999,0,nonexistent,no
57,management,married,university.degree,no,no,no,yes,may,mon,461,1,999,0,nonexistent,no
51,technician,married,basic.6y,,no,no,yes,may,mon,250,1,999,0,nonexistent,no
54,retired,married,high.school,,no,no,yes,may,mon,130,1,999,0,nonexistent,no
49,blue-collar,married,basic.4y,,no,no,yes,may,mon,252,1,999,0,nonexistent,no
34,admin.,married,university.degree,no,yes,no,yes,may,mon,138,1,999,0,nonexistent,no
41,technician,married,professional.course,no,no,no,yes,may,mon,412,1,999,0,nonexistent,no
38,blue-collar,single,basic.9y,no,yes,no,yes,may,mon,179,2,999,0,nonexistent,no
45,management,divorced,university.degree,no,no,no,yes,may,mon,19,2,999,0,nonexistent,no
42,technician,married,university.degree,no,no,no,yes,may,mon,228,2,999,0,nonexistent,no
34,blue-collar,single,basic.9y,,yes,no,yes,may,mon,55,1,999,0,nonexistent,no
48,blue-collar,married,basic.4y,no,yes,no,yes,may,mon,717,1,999,0,nonexistent,no
37,admin.,married,high.school,,yes,no,yes,may,mon,313,1,999,0,nonexistent,no
34,blue-collar,single,basic.9y,,no,no,yes,may,mon,289,1,999,0,nonexistent,no
40,admin.,married,basic.9y,,yes,no,yes,may,mon,683,2,999,0,nonexistent,no
43,blue-collar,married,basic.6y,no,yes,no,yes,may,mon,1077,1,999,0,nonexistent,no
33,services,married,high.school,no,no,no,yes,may,mon,146,2,999,0,nonexistent,no
32,services,single,basic.6y,no,no,no,yes,may,mon,167,1,999,0,nonexistent,no
39,blue-collar,married,high.school,no,yes,no,yes,may,mon,356,2,999,0,nonexistent,no
43,admin.,married,,no,no,no,yes,may,mon,277,1,999,0,nonexistent,no
44,blue-collar,married,basic.9y,no,yes,no,yes,may,mon,172,1,999,0,nonexistent,no
35,student,single,university.degree,,no,no,yes,may,mon,218,1,999,0,nonexistent,no
35,student,single,university.degree,,yes,yes,yes,may,mon,217,1,999,0,nonexistent,no
35,unemployed,married,professional.course,no,no,no,yes,may,mon,67,1,999,0,nonexistent,no
36,services,single,basic.4y,no,no,no,yes,may,mon,291,1,999,0,nonexistent,no
35,student,single,university.degree,,yes,no,yes,may,mon,248,1,999,0,nonexistent,no
36,student,single,basic.9y,no,yes,no,yes,may,mon,256,1,999,0,nonexistent,no
55,housemaid,divorced,university.degree,no,no,no,yes,may,mon,286,1,999,0,nonexistent,no
59,admin.,married,university.degree,no,no,no,yes,may,mon,477,1,999,0,nonexistent,no
57,retired,married,,,no,no,yes,may,mon,611,2,999,0,nonexistent,no
39,blue-collar,married,professional.course,,yes,no,yes,may,mon,471,1,999,0,nonexistent,no
39,housemaid,married,basic.4y,,yes,no,yes,may,mon,381,2,999,0,nonexistent,no
30,blue-collar,single,,no,yes,no,yes,may,mon,251,1,999,0,nonexistent,no
30,blue-collar,single,,no,yes,yes,yes,may,mon,408,1,999,0,nonexistent,no
50,housemaid,married,basic.4y,,no,no,yes,may,mon,287,1,999,0,nonexistent,no
40,services,married,high.school,no,no,no,yes,may,mon,322,3,999,0,nonexistent,no
35,admin.,married,high.school,no,yes,no,yes,may,mon,216,2,999,0,nonexistent,no
43,technician,married,,,no,no,yes,may,mon,366,2,999,0,nonexistent,no
36,services,single,basic.6y,,yes,no,yes,may,mon,210,1,999,0,nonexistent,no
46,technician,married,basic.4y,,yes,no,yes,may,mon,288,1,999,0,nonexistent,no
40,technician,married,basic.9y,no,no,no,yes,may,mon,168,1,999,0,nonexistent,no
58,retired,married,university.degree,no,no,no,yes,may,mon,132,1,999,0,nonexistent,no
42,technician,married,university.degree,no,no,no,yes,may,mon,64,2,999,0,nonexistent,no
35,admin.,single,university.degree,no,no,no,yes,may,mon,209,2,999,0,nonexistent,no
43,retired,married,basic.4y,,no,no,yes,may,mon,410,3,999,0,nonexistent,no
45,blue-collar,married,basic.4y,no,yes,yes,yes,may,mon,177,1,999,0,nonexistent,no
39,admin.,married,professional.course,no,yes,no,yes,may,mon,580,2,999,0,nonexistent,no
50,services,divorced,professional.course,no,yes,no,yes,may,mon,165,1,999,0,nonexistent,no
32,management,divorced,basic.4y,,yes,no,yes,may,mon,127,2,999,0,nonexistent,no
39,admin.,married,high.school,,no,no,yes,may,mon,357,1,999,0,nonexistent,no
52,self-employed,married,university.degree,,no,no,yes,may,mon,175,1,999,0,nonexistent,no
44,admin.,married,professional.course,no,yes,no,yes,may,mon,300,1,999,0,nonexistent,no
56,blue-collar,married,basic.4y,no,no,no,yes,may,mon,136,1,999,0,nonexistent,no
48,admin.,married,high.school,no,no,no,yes,may,mon,125,2,999,0,nonexistent,no
33,services,married,high.school,,no,yes,yes,may,mon,189,2,999,0,nonexistent,no
43,management,married,university.degree,,no,yes,yes,may,mon,213,3,999,0,nonexistent,no
57,retired,married,high.school,no,no,no,yes,may,mon,238,2,999,0,nonexistent,no
36,technician,single,professional.course,no,no,no,yes,may,mon,124,1,999,0,nonexistent,no
34,management,married,university.degree,no,yes,no,yes,may,mon,18,1,999,0,nonexistent,no
34,services,single,basic.9y,no,no,no,yes,may,mon,730,2,999,0,nonexistent,no
30,technician,married,university.degree,,no,no,yes,may,mon,40,1,999,0,nonexistent,no
33,services,divorced,,no,no,no,yes,may,mon,181,2,999,0,nonexistent,no
32,technician,single,professional.course,no,no,no,yes,may,mon,79,1,999,0,nonexistent,no
36,technician,single,high.school,no,yes,no,yes,may,mon,142,2,999,0,nonexistent,no
36,blue-collar,single,high.school,no,no,yes,yes,may,mon,389,1,999,0,nonexistent,no
33,services,single,high.school,no,no,no,yes,may,mon,702,1,999,0,nonexistent,no
40,technician,divorced,professional.course,no,no,no,yes,may,mon,151,1,999,0,nonexistent,no
41,blue-collar,married,basic.4y,no,yes,no,yes,may,mon,211,1,999,0,nonexistent,no
51,services,married,basic.6y,no,yes,no,yes,may,mon,117,1,999,0,nonexistent,no
36,technician,married,professional.course,no,yes,no,yes,may,mon,232,3,999,0,nonexistent,no
28,services,married,,no,no,no,yes,may,mon,408,2,999,0,nonexistent,no
53,services,married,high.school,no,yes,yes,yes,may,mon,370,3,999,0,nonexistent,no
58,blue-collar,married,basic.9y,,yes,no,yes,may,mon,179,2,999,0,nonexistent,no
45,management,married,basic.9y,no,no,yes,yes,may,mon,46,1,999,0,nonexistent,no
43,technician,married,,no,yes,no,yes,may,mon,200,1,999,0,nonexistent,no
33,admin.,married,high.school,no,no,yes,yes,may,mon,50,1,999,0,nonexistent,no
33,admin.,married,high.school,no,no,yes,yes,may,mon,181,1,999,0,nonexistent,no
27,blue-collar,single,basic.6y,no,,,yes,may,mon,119,1,999,0,nonexistent,no
42,technician,married,high.school,no,no,no,yes,may,mon,361,1,999,0,nonexistent,no
43,admin.,divorced,basic.9y,no,no,no,yes,may,mon,73,3,999,0,nonexistent,no
42,admin.,married,university.degree,no,no,no,yes,may,mon,67,2,999,0,nonexistent,no
27,blue-collar,single,basic.6y,no,no,no,yes,may,mon,350,1,999,0,nonexistent,no
34,self-employed,single,university.degree,no,yes,no,yes,may,mon,150,2,999,0,nonexistent,no
31,student,single,university.degree,,no,no,yes,may,mon,332,2,999,0,nonexistent,no
54,management,divorced,university.degree,no,no,no,yes,may,mon,611,2,999,0,nonexistent,no
40,self-employed,married,basic.4y,,no,no,yes,may,mon,58,3,999,0,nonexistent,no
52,unemployed,married,high.school,,yes,no,yes,may,mon,151,1,999,0,nonexistent,no
47,management,divorced,university.degree,no,no,no,yes,may,mon,89,2,999,0,nonexistent,no
49,housemaid,married,basic.9y,,no,no,yes,may,mon,152,1,999,0,nonexistent,no
32,admin.,single,high.school,no,no,no,yes,may,mon,611,2,999,0,nonexistent,no
49,housemaid,single,high.school,,yes,yes,yes,may,mon,110,2,999,0,nonexistent,no
50,blue-collar,married,basic.9y,,no,no,yes,may,mon,463,1,999,0,nonexistent,no
34,services,married,high.school,no,no,no,yes,may,mon,962,1,999,0,nonexistent,no
55,blue-collar,married,basic.4y,,no,no,yes,may,mon,102,2,999,0,nonexistent,no
47,technician,single,basic.9y,no,no,no,yes,may,mon,10,4,999,0,nonexistent,no
51,retired,married,professional.course,no,no,no,yes,may,mon,118,3,999,0,nonexistent,no
47,blue-collar,married,basic.6y,no,no,no,yes,may,mon,92,2,999,0,nonexistent,no
56,technician,married,basic.4y,no,yes,no,yes,may,mon,143,3,999,0,nonexistent,no
53,admin.,married,basic.9y,no,no,no,yes,may,mon,189,3,999,0,nonexistent,no
36,blue-collar,married,basic.9y,no,yes,no,yes,may,mon,75,2,999,0,nonexistent,no
42,blue-collar,divorced,basic.9y,no,yes,no,yes,may,mon,189,2,999,0,nonexistent,no
44,blue-collar,divorced,basic.6y,no,no,no,yes,may,mon,55,2,999,0,nonexistent,no
39,housemaid,married,basic.9y,no,yes,no,yes,may,mon,935,3,999,0,nonexistent,yes
37,admin.,single,high.school,no,yes,yes,yes,may,mon,56,2,999,0,nonexistent,no
60,blue-collar,married,,,yes,no,yes,may,mon,5,2,999,0,nonexistent,no
36,services,married,high.school,no,no,no,yes,may,mon,225,2,999,0,nonexistent,no
42,management,divorced,university.degree,no,yes,no,yes,may,mon,125,2,999,0,nonexistent,no
31,admin.,married,high.school,no,yes,yes,yes,may,mon,286,2,999,0,nonexistent,no
53,technician,divorced,professional.course,,no,yes,yes,may,mon,206,2,999,0,nonexistent,no
45,blue-collar,married,basic.4y,no,yes,no,yes,may,mon,164,2,999,0,nonexistent,no
37,technician,single,professional.course,no,yes,no,yes,may,mon,98,2,999,0,nonexistent,no
47,self-employed,married,professional.course,no,no,no,yes,may,mon,446,2,999,0,nonexistent,no
49,blue-collar,divorced,high.school,no,no,yes,yes,may,mon,742,2,999,0,nonexistent,no
36,admin.,married,university.degree,no,yes,no,yes,may,mon,120,2,999,0,nonexistent,no
35,services,divorced,high.school,no,no,no,yes,may,mon,122,3,999,0,nonexistent,no
38,,married,,,no,no,yes,may,mon,362,4,999,0,nonexistent,no
38,services,single,high.school,,no,no,yes,may,mon,357,2,999,0,nonexistent,no
50,blue-collar,divorced,high.school,,no,yes,yes,may,mon,200,2,999,0,nonexistent,no
59,retired,married,professional.course,,no,no,yes,may,mon,107,2,999,0,nonexistent,no
43,,married,,no,yes,no,yes,may,mon,267,2,999,0,nonexistent,no
42,admin.,married,high.school,no,yes,no,yes,may,mon,248,2,999,0,nonexistent,no
40,admin.,married,basic.6y,,yes,no,yes,may,mon,215,2,999,0,nonexistent,no
46,blue-collar,married,,,no,no,yes,may,mon,209,2,999,0,nonexistent,no
57,housemaid,divorced,basic.4y,no,yes,yes,yes,may,mon,205,2,999,0,nonexistent,no
42,admin.,married,university.degree,no,yes,no,yes,may,mon,261,3,999,0,nonexistent,no
41,blue-collar,married,basic.4y,no,yes,no,yes,may,mon,83,2,999,0,nonexistent,no
54,management,divorced,university.degree,no,yes,no,yes,may,mon,106,3,999,0,nonexistent,no
27,admin.,single,university.degree,no,no,no,yes,may,mon,106,2,999,0,nonexistent,no
36,admin.,married,high.school,no,no,no,yes,may,mon,108,2,999,0,nonexistent,no
58,blue-collar,married,professional.course,,yes,no,yes,may,mon,214,2,999,0,nonexistent,no
40,management,married,university.degree,,yes,no,yes,may,mon,358,2,999,0,nonexistent,no
34,admin.,single,basic.9y,,no,no,yes,may,mon,453,2,999,0,nonexistent,no
33,admin.,divorced,high.school,no,no,no,yes,may,mon,364,2,999,0,nonexistent,no
56,retired,married,basic.6y,no,no,no,yes,may,mon,136,2,999,0,nonexistent,no
42,blue-collar,married,basic.9y,no,no,no,yes,may,mon,173,2,999,0,nonexistent,no
43,services,married,high.school,no,yes,no,yes,may,mon,241,2,999,0,nonexistent,no
54,management,single,basic.9y,no,yes,no,yes,may,mon,224,3,999,0,nonexistent,no
