ServiceType,TypedStrings,AcceptString
hotel,"['', 'د', 'دا', 'داد', '']",بین المللی اسپیناس خلیج فارس
train,"['', 'r', '', 'ق', 'قم']",قم
hotel,"['', 'پ', 'پا', 'پار', 'پا', 'پ', '']",پرسپولیس
bus,['مشهد'],مشهد
bus,['مشهد'],مشهد
hotel,"['', 'س', 's', 'س']",سمنان
flight,[''],تهران
flight,[''],مشهد
bus,['مشهد'],مشهد
bus,['مشهد'],مشهد
flight,[''],استانبول
hotel,"['', '\\', '\\h', '\\hv', '\\h', '\\', '', 'پ', 'پا', 'پار', 'پارس', '']",سمنان
bus,['مشهد'],مشهد
flight,[''],شیراز
bus,['اصفهان'],اصفهان
hotel,[''],مشهد
hotel,"['', 'پ', 'پا', 'پار', 'پارس', '']",پرسپولیس
hotel,"['', '\\', '\\h', '\\hv', '\\hvs', '\\hv', '\\h', '\\', '']",عباسی
hotel,"['پ', 'پا', 'پار', 'پارس']",پارس
flight,[''],تهران
bus,['مشهد'],مشهد
bus,[''],تبریز
hotel,[''],تهران
hotel,"['', 'h', 'hs', 'h', '']",پرسپولیس
hotel,"['ا', 'اس', 'اسپ', 'اسپی']",اسپیناس پالاس
hotel,[''],مشهد
hotel,"['', 'w', 'س', 'ا', 'اص']",اصفهان
hotel,"['', 't', 'ق', 'قف', 'ف', 'فی', 'فیر', 'فیرو', 'فیروز', 'فیروزه', 'فیروزهپ', 'فیروزه']",جام فیروزه
hotel,"['', '', 'h', '', 'ا', 'اص', 'اصف', 'اصفه', 'اصفها', 'اصفهان']",اصفهان
bus,['مشهد'],مشهد
bus,['مشهد'],مشهد
hotel,"['', 'م', 'مش', 'مشه', 'مشهد']",مشهد
hotel,"['', 'l', 'la', 'lai']",مشهد
hotel,"['', 'م', 'مش', 'مشه', 'مشهد']",مشهد
bus,['مشهد'],مشهد
bus,['مشهد'],مشهد
bus,['اهواز'],اهواز
hotel,['اهواز'],اهواز
bus,['مشهد'],مشهد
flight,[''],تهران
flight,"['', 'ا', 'اس', 'است', 'استا', 'استان', 'استانب']",استانبول
flight,"['', 'ا', 'اص']",اصفهان
bus,['تهران'],تهران
hotel,"['', 'پ', 'پا', 'پار', 'پارس', 'پارسی', 'پارسیا', 'پارسیان', 'پارسیان ', 'پارسیان ا', 'پارسیان از', 'پارسیان ا', 'پارسیان ', 'پارسیان آ', 'پارسیان آز']",پارسیان آزادی تهران
flight,"['', 'ت', 'ته']",تهران
flight,"['', 'م', 'من', 'منچ']",منچستر
hotel,"['', 'h', 'hx', 'h', '', 'ا', 'اط', 'اطل', 'اطلس']",اطلس
hotel,"['', '[', '[i', '[ih', '[i', '[', '', 'ج', 'جه', 'جها', 'جهان', 'جهانگ', 'جهانگر', 'جهانگرد', 'جهانگردی', 'd', 'dh', 'dhs', 'dh', 'd', '', 'ی', 'یا', 'یاس']",یاس اصفهان
hotel,"['', '\\', '', 'پ', 'پا', 'پار', 'پارس', 'پارسی', 'پارسیا', 'پارسیان', 'پارسیان ', 'پارسیان ک', 'پارسیان کو', 'پارسیان کوث', 'پارسیان کوثر']",پارسیان کوثر
flight,[''],شیراز
flight,[''],اصفهان
train,[''],اصفهان
bus,['شیراز'],شیراز
flight,['شهید دستغیب'],استانبول
flight,"['شهید بهشتی', '']",تهران
flight,[''],شیراز
flight,"['ت', 'ته', 'تهر', 'تهرا', 'تهران']",تهران
flight,"['پ', 'پو', 'پور', 'پورت', 'پورتل', 'پورتلا', 'پورتل']",پورتلند
hotel,"['', 'h', '', 'ا', 'اط', 'اطل', 'اطلس', 'اطلس ', 'اطلس', 'اطل', 'اط', 'ا', '', 'ا', 'اط', 'اطل', 'اطلا', 'اطل', 'اطلس']",اطلس
ship,['کویت'],کویت
ship,['بندرخرمشهر'],بندرخرمشهر
ship,[''],بندرعباس
ship,[''],بندر لنگه
ship,"['', '', '']",بندرعباس
hotel,"['', 'v', 'v[', 'v', '']",فردوس
hotel,"['خ', 'خو', 'خور', 'خورش', 'خورشی']",خورشید هشتم کوثر
hotel,"['', 'م', 'مش', 'مشه', 'مشهد']",مشهد
flight,"['', 'ف', 'فا', 'فاک', '']",استانبول
hotel,[''],اصفهان
hotel,"['', 'i', 'ia', 'i', '', 'ه', 'هش', 'هشت', 'هشتم', 'هشتم ', 'هشتم ک', 'هشتم کو', 'هشتم کوث', 'هشتم کوثر']",خورشید هشتم کوثر
flight,[''],تهران
hotel,"['', 'l', 'la', 'lai', 'la', 'l', '', 'م', 'مش', 'مشه', 'مشهد']",مشهد
bus,['تهران'],تهران
taxi,['تهران'],تهران
flight,[''],مشهد
ship,[''],بندر لنگه
ship,[''],بندرعباس
ship,"['', '', '']",دبی
ship,[''],بندر لنگه
ship,[''],بندرعباس
hotel,"['', 'h', 'h,', 'h,v', 'h,vd', 'h,vdk', 'h,vd', 'h,v', 'h,', 'h', '', 'ا', 'او', 'اور', 'اوری', 'اورین', 'اوری', 'اورین', 'اوری']",اورین
hotel,"['', 'جهانگردی غار علیصدر']",جهانگردی غار علیصدر
hotel,"['', 'ر', 'رج', 'رجی', 'رجین', 'رجینا', 'رجین', 'رجی', 'رج', 'ر', '']",جهانگردی غار علیصدر
hotel,"['ا', 'اع', 'اعی', 'اعیا', 'اعیان']",اعیان
hotel,"['', 'ا', 'ال', 'الم', 'الما']",الماس نوین
hotel,"['', 'ا', 'اع', 'اعی', 'اعیا', 'اعیان']",اعیان
hotel,"['', 'ج', 'جه', 'جها', 'جهان']",جهانگردی
ship,"['', 'ب', 'بن', 'بند', 'بندر', 'بندر ', 'گ', 'گز', '', '']",بندر لنگه
ship,"['', '']",دبی
hotel,"['', 's', 'su', 's', '', 'س', 'سع', 'سعد', 'سعدی', 'سعدی ', 'سعدی ت', 'سعدی ته', 'سعدی تهر', 'سعدی تهرا', 'سعدی تهران', 'سعدی ']",سعدی
bus,['تهران'],تهران
hotel,"['', 'o', 'o,', 'o,v', 'o,va', 'o,vad', 'o,vadn', 'o,vad', 'o,va', 'o,v', 'o,', 'o', '']",اعیان
hotel,"['خ', 'خو', 'خور', 'خورش', 'خورشی', 'خورشید']",خورشید هشتم کوثر
bus,['مشهد'],مشهد
hotel,"['', 'h', 'hl', 'hlh', 'hl', 'h', '', 'ا', 'ام', 'اما', 'امام', 'امام ', 'امام ر', 'امام رض', 'امام رضا']",امام رضا
hotel,"['', 'H', '', 'آ', 'آپ', 'آپا', 'آپاد']",آپادانا
hotel,"['', 'h', 'h,', 'h', '', 'ا', 'او', 'اور', 'اوری', 'اورین']",اورین
hotel,"['', 'a', 'م', 'مش', 'مشه', 'مشهد']",مشهد
bus,['تهران'],تهران
hotel,"['', 'ت', 'ته', 'تهر', 'تهرا', 'تهران']",تهران
ship,[''],بندر لنگه
ship,[''],شارجه
ship,[''],بندر لنگه
ship,[''],شارجه
ship,"['', '']",دبی
hotel,"['', 'ا', 'اپ', 'اپی', 'اپین', 'اپینا', 'اپیناس', 'اپینا', 'اپین', 'اپی', 'اپ', 'ا', 'اس', 'اسپ', 'اسپی', 'اسپین']",بین المللی اسپیناس خلیج فارس
flight,"['ا', 'اص', 'اصف', 'اصفه', 'اصفها', 'اصفهان']",اصفهان
train,"['د', 'دا']",دامغان
bus,['تهران'],تهران
bus,['تهران'],تهران
bus,"['', 'ا', 'اه', 'اهو', 'اهوا', 'اهواز']",اهواز
ship,[''],بندر چابهار
ship,[''],بندر لنگه
ship,[''],دبی
train,[''],تهران
train,[''],رشت
flight,"['', 'ف', 'فا', 'فاک', 'فاک ', 'فاک ی', 'فاک یو', 'فاک ی', 'فاک ', 'فاک', 'فا']",عسلویه
bus,['شاهرود'],شاهرود
train,[''],مشهد
bus,"['ب', 'بر', 'برو', 'بروج', 'بروجر']",بروجرد
flight,[''],تبریز
train,[''],مشهد
bus,"['', '']",تهران
bus,"['', ';']",کرج
bus,[''],شاهرود
flight,"['', 'آبادان']",آبادان
bus,[''],اصفهان
hotel,['اردبیل'],اردبیل
bus,"['', '', '', 'ر', 'رش', 'رشت']",رشت
train,"['', 'ت', 'تب']",تبریز
hotel,['چابهار'],چابهار
bus,['چابهار'],چابهار
hotel,['تبریز'],تبریز
bus,"['', 'ا', 'ار', 'ارد', 'اردب']",اردبیل
taxi,['سمنان'],سمنان
hotel,['اردبیل'],اردبیل
train,[''],تهران
flight,"['', 'ا', 'اص']",اصفهان
flight,[''],اهواز
taxi,"['اص', 'اصف']",اصفهان
bus,[''],هادیشهر
taxi,[''],کاشان
taxi,[''],نور
taxi,[''],فرودگاه امام خمینی
taxi,[''],سمنان
taxi,[''],قم
bus,[''],تبریز
bus,[''],تهران
bus,"['', '', '']",رشت
taxi,"['', 'ش', 'شی', 'شیرا', 'شیراز', 'شیرا', '', 'ا', 'اص']",اصفهان
taxi,"['', 'شی', 'شیر', 'شیرا', 'شیراز', '', '']",قم
bus,['اصفهان'],اصفهان
bus,"['', 'ا', 'اب', 'ابا', 'اباد', 'ابادا', 'ابادان']",آبادان
bus,[''],اصفهان
bus,"['', 'ا', 'اه']",اهواز
bus,"['', 'ت', 'ته']",تهران
ship,[''],بندرعباس
ship,[''],شارجه
bus,"['گ', '', 'د', 'دلی', '', 'گ', 'گیلا', 'گیلان', 'گیلا', 'گیل', '', 'ر', 'رشت']",رشت
bus,"['', 'ش', 'شي', 'شير', 'شيرا']",شیراز
ship,"['', '', '']",بندرخرمشهر
ship,"['', '', '']",دبی
ship,[''],کویت
bus,"['', 'آ', '', 'ا']",آبادان
bus,"['ا', 'اب', 'ابا', 'اباد', 'ابادا', 'ابادان', 'بادان', 'آبادان', '', '']",شیراز
flight,[''],شیراز
hotel,['دامغان'],دامغان
bus,['بهشهر'],بهشهر
flight,"['ک', 'کیش']",کیش
bus,"['ا', 'ار', 'ارا', 'اراک', '', 'ا', 'ار', 'ارا', 'اراک']",اراک
flight,[''],مشهد
bus,"['ارد', 'اردبی', 'اردبیل']",اردبیل
bus,['یزد'],یزد
bus,[''],کرج
flight,"['', '', '', 'ج']",جاسک
bus,['شیراز'],شیراز
flight,[''],تهران
taxi,"['شه', 'شهریار', '']",تهران
taxi,"['شهریار', '', 'ق']",قم
flight,"['', 'ا', 'ار', 'ارو', 'اروم']",ارومیه
flight,[''],تهران
bus,"['', 'سیر', 'سیرجا', 'سیرجان', '', '']",عسلویه
bus,"['', 'سیر', 'سیرج', 'سیرجا', 'سیرجان']",سیرجان
flight,['شهید بهشتی'],یزد
flight,['شهید صدوقی'],اصفهان
taxi,"['', 'ق', 'قم']",قم
train,[''],مشهد
train,[''],تهران
hotel,['ساری'],ساری
bus,['ساری'],ساری
flight,"['', 'قم']",قم
flight,[''],تهران
flight,"['', '']",اصفهان
flight,[''],اهواز
flight,[''],تهران
taxi,[''],تهران
bus,['ابهر'],ابهر
train,"['گ', 'گر']",گرگان
bus,['مشهد'],مشهد
flight,[''],اهواز
flight,[''],تهران
bus,"['فهر', 'فهرج', 'ف', '', 'ای', '', 'زاه']",زاهدان
flight,"['', 'زاهد', 'زاهدا', 'زاهدان']",زاهدان
bus,['مشهد'],مشهد
taxi,['تهران'],تهران
taxi,"['ق', 'قم']",قم
flight,[''],تهران
flight,"['', 'ک', 'کی']",کیش
bus,['کرج'],کرج
flight,[''],تهران
bus,['مشهد'],مشهد
flight,"['', '', 'ک', 'کر']",کرمان
hotel,['کرمان'],کرمان
train,[''],اصفهان
bus,"['', 'بوشهر']",بوشهر
bus,"['', 'سی', 'سیر', '', 'بندر']",بندرعباس
train,['قا'],قائمشهر
bus,['یزد'],یزد
ship,"['ک', 'کی', 'کیش', '']",بندر آستارا
ship,[''],دبی
flight,"['ک', 'کی']",کیش
bus,['کرمان'],کرمان
hotel,['کرمان'],کرمان
flight,"['ق', 'قش']",قشم
flight,['مهرآباد'],مهرآباد
hotel,['اهواز'],اهواز
flight,[''],تهران
flight,"['', '']",کیش
flight,[''],اهواز
bus,['مشهد'],مشهد
taxi,['تهران'],تهران
bus,['اهواز'],اهواز
bus,['اهواز'],اهواز
hotel,['اهواز'],اهواز
flight,[''],اهواز
flight,[''],تهران
flight,"['ب', 'بص', 'بصر', 'بصرع', 'بصر', 'بصره']",بصره
flight,[''],تهران
flight,[''],تهران
flight,[''],بصره
bus,"['', 'ارا', 'اراک']",اراک
bus,[''],اهواز
hotel,['خرمشهر'],خرمشهر
taxi,"['س', 'سم', 'سمی', 'سمی=', 'سمی==', 'سمی===', 'سمی==', 'سمی=', 'سمی', 'سم', 'س', '', 'ش', 'شه', 'شهر', 'شهرض', 'شهر', 'شه', 'ش', '', 'ا', 'اص', 'اصف', 'اصفه', 'اصفها', 'اصفهان']",اصفهان
bus,['اصفهان'],اصفهان
taxi,"['ت', 'ته']",تهران
flight,['ی'],یزد
taxi,[''],تهران
taxi,[''],تهران
taxi,"['', '', '']",تهران
bus,"['ته', 'تهرا', 'تهران']",تهران
bus,['تهران'],تهران
train,"['9', '']",بندرعباس
bus,"['', 'ر', 'رش', 'رشت']",رشت
bus,"['', 'گرگ', 'گرگان']",گرگان
taxi,['قم'],قم
train,"['', 'j', '', 'ت', 'تب', 'تبر']",تبریز
bus,"['س', 'سی', 'سیر', 'سیرج', 'سیرجا', 'سیرجان']",سیرجان
taxi,"['کرمان', 'کرمانش', 'کرمانشا', 'کرمانشاه', '', '']",کرج
flight,[''],اهواز
flight,[''],اراک
train,"['ر', 'رش', 'رشت']",رشت
bus,['رشت'],رشت
taxi,['اراک'],اراک
hotel,['اراک'],اراک
flight,[''],تهران
bus,[''],اصفهان
bus,"['', 'ش', 'شی']",شیراز
bus,"['عسلویه', '']",شیراز
bus,['تهران'],تهران
taxi,"['', '', '']",تهران
bus,"['', 'ارا', 'اراک']",اراک
bus,"['ر', 'رش', 'رشت']",رشت
bus,[''],رشت
taxi,['تهران'],تهران
bus,['تهران'],تهران
bus,['مشه'],مشهد
flight,"['', 'ک', 'کسش', 'ک', 'کس', 'کسش', 'ک', 'کی']",کیش
bus,"['', 'س', 'سن', 'سنن']",سنندج
bus,"['س', 'سا', 'ساو', 'ساوه', 'ساو', 'سا', 'س', '']",تهران
bus,"['ی', 'یز']",یزد
bus,['کرج'],کرج
flight,[''],تهران
flight,"['', 'مش', 'مشه', 'مشهد']",مشهد
bus,['یزد'],یزد
bus,"['', 'ش', '', 'ر', 'رش', 'رشت']",رشت
bus,[''],اصفهان
flight,"['', 'رام', 'رامس', 'رامسر']",رامسر
bus,['یزد'],یزد
flight,[''],اهواز
ship,"['ق', 'قش', 'قشم', 'قش', 'ق', '']",بندر مقام
flight,[''],بندرعباس
ship,"['بن', 'بندر']",بندرعباس
bus,"['h', 'hv', 'h', '', 'ا', '', 'ر', 'را', 'ر', '', 'ا', 'ار', 'ارا', 'اراک', '', 'ا', 'ار', 'ارا']",اراک
bus,"['ت', 'ته', 'تهر', 'تهرا', 'تهران', '']",تهران
train,[''],یزد
train,"['', ' ', '', '']",ازنا
flight,[''],تهران
flight,"['', 'تب']",تبریز
bus,['تهران'],تهران
bus,"['', 'ه', 'هم', 'همد', 'همدا', 'همدان']",همدان
bus,['یزد'],یزد
flight,"['', 'ب', 'بن', 'بند']",بندرعباس
flight,"['', 'ک']",کرمانشاه
flight,[''],کیش
flight,[''],تهران
flight,['ش'],یزد
bus,"['ا', 'ای']",ایلام
train,"['', '']",قم
flight,"['', '']",بصره
flight,"['', '']",تهران
hotel,['زاهدان'],زاهدان
bus,['زاهدان'],زاهدان
bus,['یزد'],یزد
flight,"['', 'ب', 'بن']",بندرعباس
flight,[''],مشهد
flight,"['مشهد', 'مشه', 'مش', 'م', '', 'اه']",اهواز
flight,[''],تهران
taxi,['زنجان'],زنجان
hotel,['زنجان'],زنجان
train,[''],تهران
hotel,['تهران'],تهران
bus,['مشهد'],مشهد
ship,[''],بندر لنگه
taxi,[''],نور
taxi,['تهران'],تهران
taxi,[''],نوشهر
bus,"['', '']",تهران
bus,"['', '']",آبادان
flight,[''],مشهد
flight,"['', 'ق']",قزوین
train,[''],کرج
train,[''],زنجان
train,[''],تهران
train,"['', 'ق', 'قز']",قزوین
bus,['قم'],قم
taxi,['قم'],قم
hotel,['قم'],قم
flight,"['', '', 'ب', 'بن', 'بند', 'بندر']",بندرعباس
flight,[''],مشهد
bus,['اردبیل'],اردبیل
hotel,['اردبیل'],اردبیل
flight,"['', 'j', 'ji', 'jiv', 'jivh', 'jivhk']",تهران
flight,"['', 'j', 'jf', 'jfv', 'jfvd']",تبریز
flight,"['', 'م', 'مش', 'مشه', 'مش', 'م', '', 'ط', 'طه', 'طهر', 'طهرا', '']",تهران
flight,"['', 'م', 'مش', 'مشه', 'مشهد']",مشهد
ship,[''],بندر لنگه
bus,"['ارا', 'اراک']",اراک
ship,"['', '', '', '', '']",شارجه
ship,"['', '', '']",بندرعباس
train,[''],قم
flight,[''],تهران
taxi,['تهران'],تهران
bus,['اصفهان'],اصفهان
flight,[''],مشهد
flight,[''],یزد
flight,"['', '', '', '', '']",مشهد
flight,"['', 'ب', 'بو', 'بوش', 'بوشه', 'بوشهر']",بوشهر
flight,[''],مشهد
flight,[''],یزد
flight,[''],تهران
flight,['ق'],قم
flight,[''],تهران
flight,[''],اصفهان
train,"['ق', 'قم']",قم
bus,['مشهد'],مشهد
bus,['تهران'],تهران
bus,['یزد'],یزد
train,"['ب', 'بن', 'بند', 'بندر']",بندرعباس
hotel,['ساری'],ساری
bus,['تهران'],تهران
bus,['تهران'],تهران
bus,['ساری'],ساری
taxi,['تهران'],تهران
bus,[''],تهران
bus,['تهران'],تهران
taxi,['تهران'],تهران
bus,[''],تبریز
bus,[''],تفرش
bus,[''],تفرش
bus,[''],تهران
flight,"['', 'کیش']",کیش
flight,[''],تهران
flight,[''],مشهد
hotel,['خرم آباد'],خرم آباد
bus,[''],تهران
bus,[''],تفرش
bus,[''],شیراز
train,[''],مشهد
bus,['تهران'],تهران
bus,['مشهد'],مشهد
flight,[''],تهران
flight,[''],اصفهان
bus,"['', 'تاک', 'تاکستان', 'تاکستا', '', 'ق', 'قز']",قزوین
bus,['کوهدشت'],کوهدشت
flight,"['', 'م', 'مش', 'مشه', 'مشهد']",مشهد
train,"['', '', '']",تهران
bus,[''],تهران
flight,"['', '']",تهران
bus,"['شهر', 'شهری', 'شهریا', 'شهریار', 'شهریا', 'شهری', 'شهر', 'شه', 'ش', '']",تهران
train,"['ر', 'رش', 'رشت']",رشت
ship,"['خ', 'خر', 'خرم', 'خرمش', 'خرمشه', 'خرمشهر', 'خرمشه', 'خرمش', 'خرم', 'خر', 'خ', '']",بندرخرمشهر
ship,"['ک', 'کو', 'کوی', 'کویت']",کویت
hotel,['تبریز'],تبریز
bus,['تهران'],تهران
train,"['خ', 'خو', 'خ', '', 'و']",وان
train,"['', '', '']",مشهد
flight,[''],تهران
flight,"['آ', 'آب', 'آبا']",آبادان
flight,"['', 'چ']",چابهار
taxi,"['ا', 'ار', 'ارد', 'اردک', 'اردکا', 'اردکان', '', 'ت', 'ته']",تهران
flight,"['', 'ز', 'زا', 'زاه', 'زاهد', 'زاهدا', 'زاهدان']",زاهدان
hotel,['اهواز'],اهواز
bus,['اهواز'],اهواز
flight,"['', 'م', 'ما', 'ماه', 'ماهش']",ماهشهر
hotel,['بندرماهشهر'],بندرماهشهر
ship,"['', 'ب', 'بو', 'بوش']",بندر بوشهر
flight,[''],تهران
flight,"['', 'ب', 'بن', 'بند', 'بندر']",بندرعباس
flight,"['', 'ر', 'رش', 'رشت']",رشت
taxi,"['', '']",قم
ship,[''],بندر عسلویه
flight,[''],تهران
flight,"['', 'ک', 'کر']",کرج
flight,"['', 'ک', 'کر', 'کرم']",کرمان
ship,[''],بندر امام خمینی
flight,"['ت', 'ته', 'تهر', 'تهرا', 'تهران']",تهران
ship,[''],بندرخرمشهر
bus,['بابلسر'],بابلسر
bus,['قم'],قم
hotel,['قم'],قم
ship,"['', 'ک', 'کو', 'کوی', 'کویت', '', 'ک', 'کو', 'کوی', '', 'ک', 'کو', 'کوی', '', 'ک', 'کو', 'کوی', '']",بندرخرمشهر
ship,"['', 'ب', 'بن', 'بند', 'بندر', 'بندر ', 'بندر ع', 'بندر عی', 'بندر ع', 'بندر ', 'بندر', 'بند', 'بندر', 'بندرع', 'بندرعب']",بندرعباس
ship,"['', '', 'ک', 'کو', 'کوی']",کویت
bus,['مشهد'],مشهد
bus,"['ا', 'اص', 'اصف', 'اصفه', 'اصفها', 'اصفهان']",اصفهان
hotel,['بیرجند'],بیرجند
flight,[''],تهران
bus,['عسلویه'],عسلویه
ship,"[';', ';d', ';da', ';d', ';', '', 'ک', 'کی', 'کیش', '', 'ک', 'کی', 'ک', '', 'ل', 'لن', 'ل', '']",بندر لنگه
taxi,['تهران'],تهران
bus,['تهران'],تهران
flight,[''],تهران
flight,[''],اصفهان
hotel,['کاشان'],کاشان
taxi,['قم'],قم
train,"['', 'ت', 'تب', 'تبر', 'تبری', 'تبریز']",تبریز
hotel,['رفسنجان'],رفسنجان
taxi,"['دلی', 'دلیج', 'دلیجا', 'دلیجان', 'دلیجا', 'دلیج', '', 'ارا', 'اراک', '', '', '']",تهران
bus,"['', 'رف', 'ر', '', 'رف', 'ر', '', 'یزد']",یزد
bus,['مشهد'],مشهد
flight,[''],مشهد
bus,['تهران'],تهران
hotel,['بروجرد'],بروجرد
train,"['', 'م', 'مش']",مشهد
flight,"['', '']",تهران
bus,[''],آباده
bus,[''],تهران
flight,"['', 'ی', 'یز', 'یزد']",یزد
bus,['تهران'],تهران
train,[''],مشهد
train,[''],تهران
bus,"['', 'r', '', 'ق', 'قم']",قم
bus,[''],اردبیل
bus,[''],قم
bus,[''],قم
bus,[''],تهران
bus,"['', '']",قم
flight,[''],تهران
flight,[''],تهران
flight,"['', 'ل', 'لا']",جزیره لاوان
flight,"['', 'گ', 'گر', 'گرگ']",گرگان
bus,['تهران'],تهران
bus,['تهران'],تهران
bus,['تهران'],تهران
flight,"['', 'ش', 'شی']",شیراز
bus,"['گ', 'گر', 'گرگ', 'گرگا', 'گرگان']",گرگان
bus,"['م', 'مش', 'مشه', 'مشهد']",مشهد
taxi,['تهران'],تهران
flight,[''],تهران
bus,['تهران'],تهران
hotel,['چابهار'],چابهار
bus,['قم'],قم
hotel,['تهران'],تهران
taxi,['قم'],قم
taxi,['قم'],قم
taxi,['تهران'],تهران
bus,"['', 'ه', 'هم', 'همد', 'همدا', 'همدان']",همدان
flight,[''],اصفهان
bus,['مشهد'],مشهد
bus,['مشهد'],مشهد
bus,"['', 'ش', 'شی', 'شیر', 'شیرا']",شیراز
bus,['مشهد'],مشهد
train,[''],تهران
bus,[''],مشهد
bus,"['', 'ب', 'بی', 'بیر']",بیرجند
bus,['تهران'],تهران
bus,"['', 'گ', 'گر', 'گرگ', 'گرگا', 'گرگان']",گرگان
taxi,"['ق', 'قم']",قم
flight,[''],تهران
flight,[''],چابهار
bus,"['ا', 'اه', 'اهو', 'اهوا', 'اهواز']",اهواز
bus,"['ب', 'بی']",بیرجند
hotel,['اردبیل'],اردبیل
ship,[''],بندر لنگه
bus,"['', 'ب', '', 'ی', 'یز', 'یزد']",یزد
bus,"['ر', 'رف']",رفسنجان
bus,['تهران'],تهران
bus,[''],تهران
flight,[''],اصفهان
flight,[''],شیراز
