City EN,City FA,Province,Countise,District,Latitude,Longitude,Area,Elevation,2016 Census,2011 Census,Wikipedia EN,Wikipedia FA,GeoHack
Abdanan,آبدانان,ایلام,آبدانان,مرکزی,32.59,47.52,880.0,37239124.0,23946.0,22901.0,https://en.wikipedia.org/wiki/Abdanan,https://fa.wikipedia.org/wiki/%D8%A2%D8%A8%D8%AF%D8%A7%D9%86%D8%A7%D9%86,https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A2%D8%A8%D8%AF%D8%A7%D9%86%D8%A7%D9%86&params=32.59_N_47.52_E_
Abezhdan,آبژدان,خوزستان,اندیکا,آبژدان,32.06746167,49.46181319,572.0,,1673.0,1673.0,"https://en.wikipedia.org/wiki/Abezhdan,_Andika",https://fa.wikipedia.org/wiki/%D8%A2%D8%A8%DA%98%D8%AF%D8%A7%D9%86_(%D8%A7%D9%86%D8%AF%DB%8C%DA%A9%D8%A7),https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A2%D8%A8%DA%98%D8%AF%D8%A7%D9%86_(%D8%A7%D9%86%D8%AF%DB%8C%DA%A9%D8%A7)&params=32.06746167_N_49.46181319_E_
Abgarm,آبگرم,قزوین,آوج,آبگرم,35.754834,49.298401,,,6336.0,5998.0,https://en.wikipedia.org/wiki/Abgarm,https://fa.wikipedia.org/wiki/%D8%A2%D8%A8%DA%AF%D8%B1%D9%85_(%D8%A2%D9%88%D8%AC),https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A2%D8%A8%DA%AF%D8%B1%D9%85_(%D8%A2%D9%88%D8%AC)&params=35.754834_N_49.298401_E_
Abhar,ابهر,زنجان,ابهر,مرکزی,36.08,49.13,1540.0,277.0,99285.0,87396.0,https://en.wikipedia.org/wiki/Abhar,https://fa.wikipedia.org/wiki/%D8%A7%D8%A8%D9%87%D8%B1,https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A7%D8%A8%D9%87%D8%B1&params=36.08_N_49.13_E_
Abi Beyglu,آبی‌بیگلو,اردبیل,نمین,ویلکیج,38.2711,48.5692,1318.0,,6516.0,5999.0,https://en.wikipedia.org/wiki/Abi_Beyglu,https://fa.wikipedia.org/wiki/%D8%A2%D8%A8%DB%8C%E2%80%8C%D8%A8%DB%8C%DA%AF%D9%84%D9%88,https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A2%D8%A8%DB%8C%E2%80%8C%D8%A8%DB%8C%DA%AF%D9%84%D9%88&params=38.2711_N_48.5692_E_
Abish Ahmad,آبش‌احمد,آذربایجان شرقی,کلیبر,آبش‌احمد,39.042712,47.31707,825.0,,2715.0,2318.0,https://en.wikipedia.org/wiki/Abish_Ahmad,https://fa.wikipedia.org/wiki/%D8%A2%D8%A8%D8%B4%E2%80%8C%D8%A7%D8%AD%D9%85%D8%AF,https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A2%D8%A8%D8%B4%E2%80%8C%D8%A7%D8%AD%D9%85%D8%AF&params=39.04271200_N_47.31707000_E_
Abrisham,ابریشم,اصفهان,فلاورجان,مرکزی,32.55894533,51.57376033,1610.0,,22429.0,21794.0,https://en.wikipedia.org/wiki/Abrisham,https://fa.wikipedia.org/wiki/%D8%A7%D8%A8%D8%B1%DB%8C%D8%B4%D9%85_(%D9%81%D9%84%D8%A7%D9%88%D8%B1%D8%AC%D8%A7%D9%86),https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A7%D8%A8%D8%B1%DB%8C%D8%B4%D9%85_(%D9%81%D9%84%D8%A7%D9%88%D8%B1%D8%AC%D8%A7%D9%86)&params=32.55894533_N_51.57376033_E_
Absard,آبسرد,تهران,دماوند,مرکزی,35.6221,52.1533,1936.0,9381.0,10648.0,9202.0,https://en.wikipedia.org/wiki/Absard,https://fa.wikipedia.org/wiki/%D8%A2%D8%A8%D8%B3%D8%B1%D8%AF_(%D8%AA%D9%87%D8%B1%D8%A7%D9%86),https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A2%D8%A8%D8%B3%D8%B1%D8%AF_(%D8%AA%D9%87%D8%B1%D8%A7%D9%86)&params=35.6221_N_52.1533_E_
Abu Homeyzeh,ابوحمیظه,خوزستان,دشت آزادگان,مرکزی,31.52884649,48.2204024,14.0,,5506.0,5506.0,https://en.wikipedia.org/wiki/Abu_Homeyzeh,https://fa.wikipedia.org/wiki/%D8%A7%D8%A8%D9%88%D8%AD%D9%85%DB%8C%D8%B8%D9%87,https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A7%D8%A8%D9%88%D8%AD%D9%85%DB%8C%D8%B8%D9%87&params=31.52884649_N_48.22040240_E_
Abu Musa,ابوموسی,هرمزگان,بوموسی,مرکزی,25.88454057,55.03752812,10.0,,4213.0,3461.0,"https://en.wikipedia.org/wiki/Abu_Musa,_Iran",https://fa.wikipedia.org/wiki/%D8%A7%D8%A8%D9%88%D9%85%D9%88%D8%B3%DB%8C_(%D8%B4%D9%87%D8%B1),https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A7%D8%A8%D9%88%D9%85%D9%88%D8%B3%DB%8C_(%D8%B4%D9%87%D8%B1)&params=25.88454057_N_55.03752812_E_
Abuzeydabad,ابوزیدآباد,اصفهان,آران و بیدگل,کویرات,33.90049,51.7661,948.0,,5976.0,5559.0,https://en.wikipedia.org/wiki/Abuzeydabad,https://fa.wikipedia.org/wiki/%D8%A7%D8%A8%D9%88%D8%B2%DB%8C%D8%AF%D8%A2%D8%A8%D8%A7%D8%AF,https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A7%D8%A8%D9%88%D8%B2%DB%8C%D8%AF%D8%A2%D8%A8%D8%A7%D8%AF&params=33.90049_N_51.76610_E_
Abyek,آبیک,قزوین,آبیک,مرکزی شهرستان آبیک,36.05,50.53,,,60107.0,55779.0,https://en.wikipedia.org/wiki/Abyek,https://fa.wikipedia.org/wiki/%D8%A2%D8%A8%DB%8C%DA%A9,https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A2%D8%A8%DB%8C%DA%A9&params=36.05_N_50.53_E_
Achachi,آچاچی,آذربایجان شرقی,میانه,مرکزی,37.395833,47.796111,,112.0,3647.0,3647.0,https://en.wikipedia.org/wiki/Achachi,https://fa.wikipedia.org/wiki/%D8%A2%DA%86%D8%A7%DA%86%DB%8C,https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A2%DA%86%D8%A7%DA%86%DB%8C&params=37.395833_N_47.796111_E_
Adimi,ادیمی,سیستان و بلوچستان,نیمروز,مرکزی,31.1242,61.4047,,,3613.0,3328.0,https://en.wikipedia.org/wiki/Adimi,https://fa.wikipedia.org/wiki/%D8%A7%D8%AF%DB%8C%D9%85%DB%8C_(%D9%86%DB%8C%D9%85%D8%B1%D9%88%D8%B2),https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A7%D8%AF%DB%8C%D9%85%DB%8C_(%D9%86%DB%8C%D9%85%D8%B1%D9%88%D8%B2)&params=31.1242_N_61.4047_E_
Afus,افوس,اصفهان,بوئین و میاندشت,مرکزی,33.023236,50.092789,2500.0,,3696.0,4313.0,https://en.wikipedia.org/wiki/Afus,https://fa.wikipedia.org/wiki/%D8%A7%D9%81%D9%88%D8%B3,https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A7%D9%81%D9%88%D8%B3&params=33.023236_N_50.092789_E_
Aghajari,آغاجاری,خوزستان,آغاجاری,مرکزی,30.42,49.49,,,11912.0,12653.0,https://en.wikipedia.org/wiki/Aghajari,https://fa.wikipedia.org/wiki/%D8%A2%D8%BA%D8%A7%D8%AC%D8%A7%D8%B1%DB%8C,https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A2%D8%BA%D8%A7%D8%AC%D8%A7%D8%B1%DB%8C&params=30.42_N_49.49_E_
Ahar,اهر,آذربایجان شرقی,اهر,مرکزی,,,1341.0,12762.0,100641.0,92608.0,https://en.wikipedia.org/wiki/Ahar,https://fa.wikipedia.org/wiki/%D8%A7%D9%87%D8%B1,
Ahel,اهل,فارس,لامرد,اشکنان,27.1675,53.7636,900.0,,3179.0,2940.0,https://en.wikipedia.org/wiki/Ahel,https://fa.wikipedia.org/wiki/%D8%A7%D9%87%D9%84_(%D9%84%D8%A7%D9%85%D8%B1%D8%AF),https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A7%D9%87%D9%84_(%D9%84%D8%A7%D9%85%D8%B1%D8%AF)&params=27.1675_N_53.7636_E_
Ahmadabad,احمدآباد,یزد,اردکان,مرکزی,32.357624,53.992257,,,6046.0,5019.0,"https://en.wikipedia.org/wiki/Ahmadabad,_Iran",https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D9%85%D8%AF%D8%A2%D8%A8%D8%A7%D8%AF_(%D8%A7%D8%B1%D8%AF%DA%A9%D8%A7%D9%86),https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A7%D8%AD%D9%85%D8%AF%D8%A2%D8%A8%D8%A7%D8%AF_(%D8%A7%D8%B1%D8%AF%DA%A9%D8%A7%D9%86)&params=32.35762400_N_53.99225700_E_
Ahmadabad-e Mostowfi,احمدآباد مستوفی,تهران,اسلامشهر,احمدآباد مستوفی,,,,,14077.0,14077.0,https://en.wikipedia.org/wiki/Ahmadabad-e_Mostowfi,https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D9%85%D8%AF%D8%A2%D8%A8%D8%A7%D8%AF_%D9%85%D8%B3%D8%AA%D9%88%D9%81%DB%8C,
Ahmadabad-e Sowlat,احمدآباد صولت,خراسان رضوی,تربت جام,بوژگان,35.115833,60.69,,,8326.0,6758.0,https://en.wikipedia.org/wiki/Ahmadabad-e_Sowlat,https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D9%85%D8%AF%D8%A2%D8%A8%D8%A7%D8%AF_%D8%B5%D9%88%D9%84%D8%AA,https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A7%D8%AD%D9%85%D8%AF%D8%A2%D8%A8%D8%A7%D8%AF_%D8%B5%D9%88%D9%84%D8%AA&params=35.115833_N_60.69_E_
Ahmadsargurab,احمدسرگوراب,گیلان,شفت,احمدسرگوراب,37.1457,49.3727,68.0,,2128.0,2346.0,https://en.wikipedia.org/wiki/Ahmadsargurab,https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D9%85%D8%AF%D8%B3%D8%B1%DA%AF%D9%88%D8%B1%D8%A7%D8%A8,https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A7%D8%AD%D9%85%D8%AF%D8%B3%D8%B1%DA%AF%D9%88%D8%B1%D8%A7%D8%A8&params=37.1457_N_49.3727_E_
Ahram,اهرم,بوشهر,تنگستان,مرکزی,28.8803,51.2728,66.0,,15198.0,13778.0,"https://en.wikipedia.org/wiki/Ahram,_Iran",https://fa.wikipedia.org/wiki/%D8%A7%D9%87%D8%B1%D9%85_(%D8%AA%D9%86%DA%AF%D8%B3%D8%AA%D8%A7%D9%86),https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A7%D9%87%D8%B1%D9%85_(%D8%AA%D9%86%DA%AF%D8%B3%D8%AA%D8%A7%D9%86)&params=28.8803_N_51.2728_E_
Ahvaz,اهواز,خوزستان,اهواز,مرکزی,31.35,48.75,122.0,18651.0,1184788.0,1112021.0,https://en.wikipedia.org/wiki/Ahvaz,https://fa.wikipedia.org/wiki/%D8%A7%D9%87%D9%88%D8%A7%D8%B2,https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A7%D9%87%D9%88%D8%A7%D8%B2&params=31.35_N_48.75_E_
Ajab Shir,عجب‌شیر,آذربایجان شرقی,عجب‌شیر,مرکزی,37.47692033,45.89475233,1299.0,,33606.0,26280.0,https://en.wikipedia.org/wiki/Ajab_Shir,https://fa.wikipedia.org/wiki/%D8%B9%D8%AC%D8%A8%E2%80%8C%D8%B4%DB%8C%D8%B1,https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%B9%D8%AC%D8%A8%E2%80%8C%D8%B4%DB%8C%D8%B1&params=37.47692033_N_45.89475233_E_
Ajin,آجین,همدان,اسدآباد,پیرسلمان,34.7357,47.9266,,,2738.0,2738.0,"https://en.wikipedia.org/wiki/Ajin,_Asadabad",https://fa.wikipedia.org/wiki/%D8%A2%D8%AC%DB%8C%D9%86,https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A2%D8%AC%DB%8C%D9%86&params=34.73570_N_47.92660_E_
Alamarvdasht,علامرودشت,فارس,لامرد,علامرودشت,27.620569,53.00865,470.0,,4068.0,4095.0,https://en.wikipedia.org/wiki/Alamarvdasht,https://fa.wikipedia.org/wiki/%D8%B9%D9%84%D8%A7%D9%85%D8%B1%D9%88%D8%AF%D8%B4%D8%AA,https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%B9%D9%84%D8%A7%D9%85%D8%B1%D9%88%D8%AF%D8%B4%D8%AA&params=27.620569_N_53.00865_E_
Alasht,آلاشت,مازندران,سوادکوه,,36.0667,52.8225,,,1193.0,874.0,https://en.wikipedia.org/wiki/Alasht,https://fa.wikipedia.org/wiki/%D8%A2%D9%84%D8%A7%D8%B4%D8%AA,https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A2%D9%84%D8%A7%D8%B4%D8%AA&params=36.0667_N_52.8225_E_
Alavicheh,علویجه,اصفهان,نجف آباد,مهردشت,32.6501,51.4551,1870.0,,8067.0,7526.0,https://en.wikipedia.org/wiki/Alavicheh,https://fa.wikipedia.org/wiki/%D8%B9%D9%84%D9%88%DB%8C%D8%AC%D9%87,https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%B9%D9%84%D9%88%DB%8C%D8%AC%D9%87&params=32.6501_N_51.4551_E_
Aleshtar,الشتر,لرستان,سلسله,مرکزی,33.87,48.25,1700.0,,33558.0,30257.0,https://en.wikipedia.org/wiki/Aleshtar,https://fa.wikipedia.org/wiki/%D8%A7%D9%84%D8%B4%D8%AA%D8%B1,https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A7%D9%84%D8%B4%D8%AA%D8%B1&params=33.87_N_48.25_E_
Ali Akbar,علی‌اکبر,سیستان و بلوچستان,هامون,تیمورآباد,30.939118,61.328365,,,4779.0,4551.0,,https://fa.wikipedia.org/wiki/%D8%B9%D9%84%DB%8C%E2%80%8C%D8%A7%DA%A9%D8%A8%D8%B1_(%D8%B4%D9%87%D8%B1),https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%B9%D9%84%DB%8C%E2%80%8C%D8%A7%DA%A9%D8%A8%D8%B1_(%D8%B4%D9%87%D8%B1)&params=30.939118_N_61.328365_E_
Ali Shahr,عالی‌شهر,بوشهر,بوشهر,مرکزی,28.934167,51.061944,,,23178.0,23178.0,https://en.wikipedia.org/wiki/Ali_Shahr,https://fa.wikipedia.org/wiki/%D8%B9%D8%A7%D9%84%DB%8C%E2%80%8C%D8%B4%D9%87%D8%B1,https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%B9%D8%A7%D9%84%DB%8C%E2%80%8C%D8%B4%D9%87%D8%B1&params=28.934167_N_51.061944_E_
Aliabad-e Katul,علی‌آباد کتول,گلستان,علی‌آباد کتول,مرکزی,36.941857,54.571879,140.0,,52838.0,49804.0,https://en.wikipedia.org/wiki/Aliabad-e_Katul,https://fa.wikipedia.org/wiki/%D8%B9%D9%84%DB%8C%E2%80%8C%D8%A2%D8%A8%D8%A7%D8%AF_%DA%A9%D8%AA%D9%88%D9%84,https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%B9%D9%84%DB%8C%E2%80%8C%D8%A2%D8%A8%D8%A7%D8%AF_%DA%A9%D8%AA%D9%88%D9%84&params=36.941857_N_54.571879_E_
Aligudarz,الیگودرز,لرستان,الیگودرز,مرکزی,33.37,49.67,20225.0,1304.0,89268.0,87967.0,https://en.wikipedia.org/wiki/Aligudarz,https://fa.wikipedia.org/wiki/%D8%A7%D9%84%DB%8C%DA%AF%D9%88%D8%AF%D8%B1%D8%B2,https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A7%D9%84%DB%8C%DA%AF%D9%88%D8%AF%D8%B1%D8%B2&params=33.37_N_49.67_E_
Aluni,آلونی,چهارمحال و بختیاری,خانمیرزا,مرکزی,31.5534198,51.0605522,1865.0,,5248.0,4094.0,https://en.wikipedia.org/wiki/Aluni,https://fa.wikipedia.org/wiki/%D8%A2%D9%84%D9%88%D9%86%DB%8C,https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A2%D9%84%D9%88%D9%86%DB%8C&params=31.5534198_N_51.0605522_E_
Alvan,الوان,خوزستان,کرخه,مرکزی,31.87462914,48.33763362,14.0,,6860.0,7092.0,"https://en.wikipedia.org/wiki/Alvan,_Iran",https://fa.wikipedia.org/wiki/%D8%A7%D9%84%D9%88%D8%A7%D9%86_(%DA%A9%D8%B1%D8%AE%D9%87),https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A7%D9%84%D9%88%D8%A7%D9%86_(%DA%A9%D8%B1%D8%AE%D9%87)&params=31.87462914_N_48.33763362_E_
Alvand,الوند,قزوین,البرز,,36.1833,50.05,1234.0,,93836.0,88711.0,"https://en.wikipedia.org/wiki/Alvand,_Iran",https://fa.wikipedia.org/wiki/%D8%A7%D9%84%D9%88%D9%86%D8%AF_(%D9%82%D8%B2%D9%88%DB%8C%D9%86),https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A7%D9%84%D9%88%D9%86%D8%AF_(%D9%82%D8%B2%D9%88%DB%8C%D9%86)&params=36.1833_N_50.0500_E_
Aminshahr,امین‌شهر,کرمان,انار,انار,30.8508,55.3294,1413.0,,4413.0,4555.0,https://en.wikipedia.org/wiki/Aminshahr,https://fa.wikipedia.org/wiki/%D8%A7%D9%85%DB%8C%D9%86%E2%80%8C%D8%B4%D9%87%D8%B1,https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A7%D9%85%DB%8C%D9%86%E2%80%8C%D8%B4%D9%87%D8%B1&params=30.8508_N_55.3294_E_
Amiriyeh,امیریه,سمنان,دامغان,امیرآباد,36.02691633,54.14035433,1171.0,,3561.0,2402.0,https://en.wikipedia.org/wiki/Amiriyeh,https://fa.wikipedia.org/wiki/%D8%A7%D9%85%DB%8C%D8%B1%DB%8C%D9%87_(%D8%AF%D8%A7%D9%85%D8%BA%D8%A7%D9%86),https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A7%D9%85%DB%8C%D8%B1%DB%8C%D9%87_(%D8%AF%D8%A7%D9%85%D8%BA%D8%A7%D9%86)&params=36.02691633_N_54.14035433_E_
Amirkola,امیرکلا,مازندران,بابل,مرکزی,36.11,52.47,,134.0,30478.0,28086.0,https://en.wikipedia.org/wiki/Amirkola,https://fa.wikipedia.org/wiki/%D8%A7%D9%85%DB%8C%D8%B1%DA%A9%D9%84%D8%A7,https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A7%D9%85%DB%8C%D8%B1%DA%A9%D9%84%D8%A7&params=36.11_N_52.47_E_
Amlash,املش,گیلان,املش,مرکزی,37.0975,50.1836,13.0,52.0,15444.0,14915.0,https://en.wikipedia.org/wiki/Amlash,https://fa.wikipedia.org/wiki/%D8%A7%D9%85%D9%84%D8%B4,https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A7%D9%85%D9%84%D8%B4&params=37.0975_N_50.1836_E_
Amol,آمل,مازندران,آمل,مرکزی,36.43,52.21,76.0,380.0,237528.0,219915.0,https://en.wikipedia.org/wiki/Amol,https://fa.wikipedia.org/wiki/%D8%A2%D9%85%D9%84,https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A2%D9%85%D9%84&params=36.43_N_52.21_E_
Anabad,انابد,خراسان رضوی,بردسکن,انابد,35.2506,57.8103,904.0,,6186.0,5739.0,"https://en.wikipedia.org/wiki/Anabad,_Iran",https://fa.wikipedia.org/wiki/%D8%A7%D9%86%D8%A7%D8%A8%D8%AF,https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A7%D9%86%D8%A7%D8%A8%D8%AF&params=35.2506_N_57.8103_E_
Anar,انار,کرمان,انار,مرکزی,30.86928,55.27341,1152.0,,15532.0,13089.0,"https://en.wikipedia.org/wiki/Anar,_Iran",https://fa.wikipedia.org/wiki/%D8%A7%D9%86%D8%A7%D8%B1_(%DA%A9%D8%B1%D9%85%D8%A7%D9%86),https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A7%D9%86%D8%A7%D8%B1_(%DA%A9%D8%B1%D9%85%D8%A7%D9%86)&params=30.86928_N_55.27341_E_
Anarak,انارک,اصفهان,نائین,انارک,,,,,1903.0,1477.0,https://en.wikipedia.org/wiki/Anarak,https://fa.wikipedia.org/wiki/%D8%A7%D9%86%D8%A7%D8%B1%DA%A9,
Anarestan,انارستان,بوشهر,جم,ریز,,,359.0,,3400.0,2735.0,"https://en.wikipedia.org/wiki/Anarestan,_Jam",https://fa.wikipedia.org/wiki/%D8%A7%D9%86%D8%A7%D8%B1%D8%B3%D8%AA%D8%A7%D9%86_(%D8%AC%D9%85),
Anbar Olum,انبارآلوم,گلستان,آق‌قلا,وُشمگیر,36.9658,54.6186,,169.0,7003.0,6540.0,https://en.wikipedia.org/wiki/Anbar_Olum,https://fa.wikipedia.org/wiki/%D8%A7%D9%86%D8%A8%D8%A7%D8%B1%D8%A2%D9%84%D9%88%D9%85,https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A7%D9%86%D8%A8%D8%A7%D8%B1%D8%A2%D9%84%D9%88%D9%85&params=36.9658_N_54.6186_E_
Anbarabad,عنبرآباد,کرمان,عنبرآباد,مرکزی,28.475275,57.85,601.0,,18185.0,18731.0,https://en.wikipedia.org/wiki/Anbarabad,https://fa.wikipedia.org/wiki/%D8%B9%D9%86%D8%A8%D8%B1%D8%A2%D8%A8%D8%A7%D8%AF,https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%B9%D9%86%D8%A8%D8%B1%D8%A2%D8%A8%D8%A7%D8%AF&params=28.475275_N_57.85_E_
Anbaran,عنبران,اردبیل,نمین,عنبران,38.4875,48.4319,1733.0,,5757.0,6084.0,https://en.wikipedia.org/wiki/Anbaran,https://fa.wikipedia.org/wiki/%D8%B9%D9%86%D8%A8%D8%B1%D8%A7%D9%86,https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%B9%D9%86%D8%A8%D8%B1%D8%A7%D9%86&params=38.4875_N_48.4319_E_
Andimeshk,اندیمشک,خوزستان,اندیمشک,مرکزی,32.8717,48.5945,1762.0,,135116.0,126811.0,https://en.wikipedia.org/wiki/Andimeshk,https://fa.wikipedia.org/wiki/%D8%A7%D9%86%D8%AF%DB%8C%D9%85%D8%B4%DA%A9,https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A7%D9%86%D8%AF%DB%8C%D9%85%D8%B4%DA%A9&params=32.8717_N_48.5945_E_
