author,published,site_url,type,label
No Author,2016-11-09T00:54:55.953+02:00,clickhole.com,satire,Fake
Activist Post,2016-11-06T15:00:37.543+02:00,activistpost.com,conspiracy,Fake
No Author,2016-11-18T20:10:28.397+02:00,clickhole.com,satire,Fake
Dr. Patrick Slattery,2016-10-31T18:28:51.983+02:00,davidduke.com,hate,Real
No Author,2016-11-01T22:23:00.000+02:00,dailywire.com,bias,Real
admin,2016-10-27T18:55:02.206+03:00,prisonplanet.com,conspiracy,Fake
Admin,2016-11-19T12:47:58.921+02:00,darkmoon.me,bs,Fake
Gillian,2016-11-07T15:14:04.731+02:00,shiftfrequency.com,bs,Fake
# 1 NWO Hatr,2016-10-29T00:46:09.330+03:00,fromthetrenchesworldreport.com,bs,Fake
Discover The Networks,2016-11-04T11:02:00.000+02:00,frontpagemag.com,hate,Real
Henry Wolff,2016-10-27T06:14:00.000+03:00,amren.com,bs,Fake
No Author,2016-10-27T03:46:39.114+03:00,prisonplanet.com,conspiracy,Fake
Caroline Glick,2016-11-02T06:45:43.651+02:00,frontpagemag.com,hate,Real
Henry Wolff,2016-10-29T04:39:11.311+03:00,amren.com,bs,Fake
No Author,2016-11-24T11:28:02.464+02:00,legorafi.fr,satire,Fake
Andy Green,2016-10-27T23:05:00.000+03:00,naturalnews.com,junksci,Fake
No Author,2016-11-10T18:58:22.259+02:00,clickhole.com,satire,Fake
No Author,2016-11-16T19:00:00.000+02:00,dailywire.com,bias,Real
Jack Kerwick,2016-10-28T07:55:05.430+03:00,frontpagemag.com,hate,Real
No Author,2016-10-27T02:24:00.000+03:00,21stcenturywire.com,conspiracy,Fake
Jason Easley,2016-10-31T03:32:38.280+02:00,politicususa.com,bias,Real
Sean Colarossi,2016-10-27T02:47:11.477+03:00,politicususa.com,bias,Real
Jason Easley,2016-10-30T09:09:00.000+02:00,politicususa.com,bias,Real
-NO AUTHOR-,2016-10-26T21:16:43.601+03:00,wnd.com,bias,Real
Don Anthony Dillon,2016-10-26T22:46:16.996+03:00,westernjournalism.com,bias,Real
Jason Easley,2016-10-27T19:28:10.046+03:00,politicususa.com,bias,Real
No Author,2016-11-14T05:07:00.000+02:00,dailywire.com,bias,Real
Michael Snyder,2016-11-23T04:06:47.308+02:00,thefreethoughtproject.com,bs,Fake
Adan Salazar,2016-10-28T00:15:48.090+03:00,infowars.com,conspiracy,Fake
antonw,2016-11-08T00:27:00.000+02:00,ahtribune.com,bs,Fake
No Author,2016-11-24T12:44:55.894+02:00,ahtribune.com,bs,Fake
Alex Ansary,2016-11-03T21:03:58.143+02:00,amtvmedia.com,bs,Fake
Dr. Patrick Slattery,2016-11-15T01:37:15.948+02:00,davidduke.com,hate,Real
admin,2016-10-27T16:31:53.849+03:00,prisonplanet.com,conspiracy,Fake
admin,2016-10-26T20:36:00.000+03:00,prisonplanet.com,conspiracy,Fake
Anonymous,2016-10-29T22:25:00.000+03:00,abeldanger.net,bs,Fake
EdJenner,2016-11-25T15:21:54.424+02:00,100percentfedup.com,bias,Real
Steve Watson,2016-10-27T16:57:52.223+03:00,infowars.com,conspiracy,Fake
No Author,2016-10-28T03:27:00.000+03:00,awdnews.com,conspiracy,Fake
EdJenner,2016-11-08T10:04:17.006+02:00,dailywire.com,bias,Real
Tina Martin,2016-10-26T22:46:19.905+03:00,westernjournalism.com,bias,Real
No Author,2016-10-27T21:14:42.241+03:00,awdnews.com,conspiracy,Fake
Anonymous,2016-11-02T00:14:00.000+02:00,abeldanger.net,bs,Fake
Corbett,2016-11-20T15:26:56.316+02:00,corbettreport.com,bs,Fake
J. D. Heyes,2016-10-27T11:36:25.543+03:00,naturalnews.com,junksci,Fake
No Author,2016-11-03T22:22:00.000+02:00,clickhole.com,satire,Fake
Robert Siliani,2016-10-26T22:46:39.886+03:00,westernjournalism.com,bias,Real
Maia M,2016-10-27T23:18:00.000+03:00,naturalnews.com,junksci,Fake
Dave Hunt,2016-11-16T20:56:00.000+02:00,ahtribune.com,bs,Fake
Jason Easley,2016-10-29T03:41:10.067+03:00,politicususa.com,bias,Real
No Author,2016-11-21T23:50:00.000+02:00,clickhole.com,satire,Fake
Activist Post,2016-11-02T18:25:27.675+02:00,activistpost.com,conspiracy,Fake
mobiusmale,2016-10-28T15:46:49.823+03:00,abovetopsecret.com,bs,Fake
Dr. Serge Gregoire,2016-10-31T21:47:43.966+02:00,naturalnews.com,junksci,Fake
Admin,2016-10-28T23:34:00.000+03:00,fromthetrenchesworldreport.com,bs,Fake
Anonymous,2016-10-27T21:50:00.000+03:00,abeldanger.net,bs,Fake
Birdie Houck,2016-10-26T22:46:37.740+03:00,westernjournalism.com,bias,Real
Steve Watson,2016-10-29T13:10:16.575+03:00,infowars.com,conspiracy,Fake
National Geographic,2016-10-27T18:42:16.263+03:00,infowars.com,conspiracy,Fake
Kimberly Reed Smith,2016-10-26T22:46:37.481+03:00,westernjournalism.com,bias,Real
Alex Ansary,2016-10-27T15:40:06.051+03:00,amtvmedia.com,bs,Fake
Ike Mclean,2016-10-27T15:25:55.549+03:00,dennismichaellynch.com,bs,Fake
No Author,2016-11-10T12:31:31.030+02:00,countercurrents.org,bs,Fake
Sarah Jones,2016-10-28T20:53:25.711+03:00,politicususa.com,bias,Real
-NO AUTHOR-,2016-10-27T02:39:29.413+03:00,wnd.com,bias,Real
Corbett,2016-11-14T23:13:00.000+02:00,corbettreport.com,bs,Fake
Alex Ansary,2016-11-02T18:22:24.792+02:00,amtvmedia.com,bs,Fake
No Author,2016-10-27T08:08:09.571+03:00,prisonplanet.com,conspiracy,Fake
Craig Ward,2016-10-26T22:46:37.456+03:00,westernjournalism.com,bias,Real
Amy Goodrich,2016-10-29T14:00:00.000+03:00,naturalnews.com,junksci,Fake
Paul Kengor,2016-10-27T12:05:00.000+03:00,frontpagemag.com,hate,Real
-NO AUTHOR-,2016-10-26T21:11:24.046+03:00,wnd.com,bias,Real
Robert Spencer,2016-10-31T11:08:00.000+02:00,frontpagemag.com,hate,Real
